"SVL","SE","SWL","SWV","HL","HWL","HWV","BWL","BWV","FLL","HLL","TL","TWL","TWV","Specimens","Species"
59.16,7.01,3.61,2,10.25,8.56,5.44,6.41,6.51,12.56,13.57,42.62,3.76,4.1,"CAS 164095","Pseudoeurycea rex"
50.79,5.92,3.75,1.66,8.43,7.61,4.55,5.48,5.56,10.42,11.6,47.85,3.9,3.69,"CAS 164066","Pseudoeurycea rex"
54.53,6.43,3.75,1.56,8.54,8.24,5.24,6.07,6,11.46,13.68,46.9,4.19,4.12,"CAS 164075","Pseudoeurycea rex"
38.49,4.74,3.17,1.36,6.73,5.55,3.37,3.95,4.07,7.42,9.56,34.87,2.94,2.89,"CAS 69415","Pseudoeurycea rex"
55.38,6.35,4,1.7,9.58,9.29,5.02,6.67,6.94,12.47,13.91,41.28,4.24,4.56,"CAS 69470","Bolitoglossa morio"
49.01,5.43,3.29,1.62,7.77,6.94,4.96,6.03,6.23,9.77,12.21,43.62,4.01,4.07,"CAS 164060","Pseudoeurycea rex"
62.99,8.34,4.59,2.05,10.87,9.52,5.85,6.5,7.15,15.74,15.85,62.92,4.19,4.86,"CAS 79625","Bolitoglossa marmorea"
50.0871057720484,7.07,4.9,2.14,12.12,10.38,5.25,7.4,4.66,14.79,16.44,44.91,4.35,3.45,"CAS 172772","Aneides vagrans"
47.93,6.76,4.34,2.08,8.76,7.9,5.59,6.53,6.74,12.39,13.63,45.23,4.08,4.06,"CAS 98950","Pseudoeurycea gadovii"
54.59,7.08,4.09,2,9.81,9.21,5.91,6.39,6.17,13.16,14.44,45.21,4.54,4.45,"CAS 9725","Pseudoeurycea gadovii"
41.78,5.62,3.66,1.57,7,6.43,4.21,5.25,4.85,10.17,10.94,31.8,3.33,3.79,"CAS 69462","Bolitoglossa morio"
40.31,5.51,2.73,1.33,7.32,5.7,4.05,4.69,4.23,8.09,9.39,28.88,2.8,3.1,"CAS 69340","Pseudoeurycea rex"
52.17,6.28,3.6,1.61,8.47,8.23,4.82,6.43,6.47,12.3,13.1,35.79,3.83,4.46,"CAS 69444","Bolitoglossa morio"
56.67,7.19,4.81,1.97,9.67,8.48,5.22,5.92,6.4,12.38,14.47,58.61,3.68,4.25,"SDNHM 66723","Bolitoglossa sooyorum"
50,6.53,4.54,1.75,8.38,7.45,4.91,5.34,5.32,10.98,12.9,53.33,3.17,3.55,"SDNHM 66722","Bolitoglossa sooyorum"
40.78,3.55,1.99,0.92,4.82,4.07,2.92,3.18,2.98,4.78,4.8,61.89,2.69,2.93,"KU 34745","Oedipina cyclocauda"
39.68,3.65,1.92,1.02,4.85,3.98,2.92,3.17,3.25,5.9,6.35,64.98,2.54,2.57,"KU 30517","Oedipina cyclocauda"
43.29,3.22,1.74,0.95,5.17,4.16,3.01,3.41,3.26,4.58,5.39,72.47,2.89,2.85,"KU 30513","Oedipina cyclocauda"
42.22,3.28,1.91,1.12,4.7,3.81,2.74,3.08,3.05,4.22,5.52,80.06,3.06,3.05,"KU 30508","Oedipina cyclocauda"
46.88,3.82,1.65,0.93,5.03,4.09,2.87,3.4,3.22,5.27,5.86,86.24,2.9,2.88,"KU 30502","Oedipina cyclocauda"
39.74,3.29,1.86,0.99,4.61,3.75,2.34,2.99,3.01,4.59,5.02,61.51,2.75,2.94,"KU 34757","Oedipina cyclocauda"
43.63,3.73,2.02,1.04,5.26,4.05,2.88,3.22,3.14,4.96,6.09,74.4,2.85,2.94,"KU 34749","Oedipina cyclocauda"
41.19,3.65,1.99,1.12,5.5,4.16,2.95,3.21,3.47,5.13,5.64,49.82,2.77,2.9,"KU 30516","Oedipina cyclocauda"
49.03,3.8,2,1.1,5.73,4.59,3.22,3.72,3.68,5.35,5.5,94.16,3.8,3.72,"KU 173532","Oedipina cyclocauda"
40.91,3.61,1.52,1.1,5.24,4.01,3.27,3.44,3.45,4.66,4.82,77.29,3.2,2.88,"KU 30499","Oedipina cyclocauda"
31.21,4.05,2.17,1.13,5.19,4.72,2.91,4.04,3.67,6.99,6.22,25.27,2.46,2.66,"KU 124107","Bolitoglossa peruviana"
33.48,4.6,2.37,1.5,5.62,5.06,3.59,4.78,4.44,5.85,7.21,25.57,2.55,3.08,"KU 124116","Bolitoglossa peruviana"
32.44,4.03,2.39,1.14,5.05,4.76,3.19,4.53,4.25,6.43,6.41,24.05,2.92,2.92,"KU 124106","Bolitoglossa peruviana"
33.81,4.67,2.48,1.23,5.52,4.99,3.11,4.04,4.23,6.8,7.19,28.2,2.82,3.09,"KU 152378","Bolitoglossa peruviana"
37.25,4.56,2.67,1.42,5.77,5.37,3.36,4.25,4.05,7.14,7.4,27.91,2.47,3.02,"KU 124115","Bolitoglossa peruviana"
33.15,4.33,2.7,1.23,5.31,5.01,3.11,4.78,3.94,7.13,6.76,25.61,2.5,2.92,"KU 124037","Bolitoglossa peruviana"
31.23,4.39,2.77,1.32,5.42,5.07,3.09,3.81,3.95,6.94,7.07,24.99,2.25,2.47,"KU 124048","Bolitoglossa peruviana"
39.83,3.05,1.74,1.09,4.9,4.02,2.45,3.03,3.18,3.88,4.94,58.7,2.87,2.85,"KU 30503","Oedipina cyclocauda"
34.36,4.47,2.67,1.21,5.75,5.13,3.36,4.4,4.43,7.61,6.68,25.28,2.31,2.66,"KU 124089","Bolitoglossa peruviana"
31.01,4.05,2.67,1.37,5.07,4.88,3.01,3.95,3.8,6.61,7.02,26.47,2.21,2.66,"KU 124038","Bolitoglossa peruviana"
41.01,4.75,2.81,1.25,6.14,5.39,3.32,4.13,4.07,7.34,8.29,41.94,2.52,2.9,"KU 217421","Bolitoglossa peruviana"
32.86,4.65,2.58,1.49,5.46,5.08,2.87,4,3.46,6.71,6.62,26.1,2.31,2.9,"KU 124026","Bolitoglossa peruviana"
35.33,4.83,3.08,1.16,6.01,5.43,3.12,4.28,4.02,6.91,7.51,24.81,2.34,2.59,"KU 124123","Bolitoglossa peruviana"
34.54,4.48,3.02,1.58,5.96,5.38,3.22,4.51,3.91,6.94,6.98,22.24,2.28,2.77,"KU 124112","Bolitoglossa peruviana"
