,SAtoV,Habitat.SAtoV,Region.SAtoV,NewCat
Aneides_aeneus,0.922524622,S,Temperate,TemperateTerr
Aneides_ferreus,0.641139348,A,Temperate,TemperateArb
Aneides_vagrans,0.817393217,A,Temperate,TemperateArb
Aneides_flavipunctatus,0.713929408,T,Temperate,TemperateTerr
Aneides_lugubris,0.471050992,A,Temperate,TemperateArb
Aneides_hardii,0.79057214,T,Temperate,TemperateTerr
Ensatina_eschscholtzii,0.676348961,T,Temperate,TemperateTerr
Desmognathus_abditus,1.237394234,T,Temperate,TemperateTerr
Desmognathus_brimleyorum,0.572120388,W,Temperate,Aquatic
Desmognathus_apalachicolae,0.881617058,T,Temperate,TemperateTerr
Desmognathus_monticola,0.525157521,T,Temperate,TemperateTerr
Desmognathus_ocoee,0.926151991,T,Temperate,TemperateTerr
Desmognathus_conanti,0.882119129,W,Temperate,Aquatic
Desmognathus_santeetlah,0.766199659,T,Temperate,TemperateTerr
Desmognathus_imitator,0.959325846,T,Temperate,TemperateTerr
Desmognathus_carolinensis,1.174069286,T,Temperate,TemperateTerr
Desmognathus_ochrophaeus,0.992827608,T,Temperate,TemperateTerr
Desmognathus_orestes,0.966010344,T,Temperate,TemperateTerr
Desmognathus_auriculatus,0.693484668,T,Temperate,TemperateTerr
Desmognathus_fuscus,0.833509266,W,Temperate,Aquatic
Desmognathus_welteri,0.535911896,T,Temperate,TemperateTerr
Desmognathus_aeneus,2.15901851,T,Temperate,TemperateTerr
Desmognathus_folkertsi,0.651027139,W,Temperate,Aquatic
Desmognathus_marmoratus,0.607957699,W,Temperate,Aquatic
Desmognathus_quadramaculatus,0.604564306,W,Temperate,Aquatic
Desmognathus_organi,1.273033032,T,Temperate,TemperateTerr
Desmognathus_wrighti,1.395397962,T,Temperate,TemperateTerr
Phaeognathus_hubrichti,0.560136029,T,Temperate,TemperateTerr
Hydromantes_ambrosii,0.710737968,C,Temperate,TemperateTerr
Hydromantes_italicus,0.735917865,C,Temperate,TemperateTerr
Hydromantes_strinatii,0.719586774,C,Temperate,TemperateTerr
Hydromantes_genei,0.570129801,C,Temperate,TemperateTerr
Hydromantes_flavus,0.575566116,C,Temperate,TemperateTerr
Hydromantes_supramontis,0.475075226,S,Temperate,TemperateTerr
Hydromantes_imperialis,0.696370126,C,Temperate,TemperateTerr
Hydromantes_brunus,0.75129701,S,Temperate,TemperateTerr
Hydromantes_platycephalus,0.761331544,T,Temperate,TemperateTerr
Hydromantes_shastae,0.820004345,C,Temperate,TemperateTerr
Karsenia_koreana,0.959588855,T,Temperate,TemperateTerr
Plethodon_albagula,0.662045876,T,Temperate,TemperateTerr
Plethodon_sequoyah,0.801322561,T,Temperate,TemperateTerr
Plethodon_grobmani,0.816733582,T,Temperate,TemperateTerr
Plethodon_ocmulgee,0.726194814,T,Temperate,TemperateTerr
Plethodon_savannah,0.629026621,T,Temperate,TemperateTerr
Plethodon_kisatchie,0.691790063,T,Temperate,TemperateTerr
Plethodon_mississippi,0.667918774,T,Temperate,TemperateTerr
Plethodon_kiamichi,0.751233003,T,Temperate,TemperateTerr
Plethodon_aureolus,0.753470049,T,Temperate,TemperateTerr
Plethodon_shermani,0.84490509,T,Temperate,TemperateTerr
Plethodon_glutinosus,0.617289147,T,Temperate,TemperateTerr
Plethodon_jordani,1.035325405,T,Temperate,TemperateTerr
Plethodon_amplus,0.65073759,S,Temperate,TemperateTerr
Plethodon_meridianus,0.670671919,T,Temperate,TemperateTerr
Plethodon_metcalfi,0.777790313,T,Temperate,TemperateTerr
Plethodon_montanus,0.873115313,T,Temperate,TemperateTerr
Plethodon_chattahoochee,0.588205278,T,Temperate,TemperateTerr
Plethodon_chlorobryonis,0.723341808,T,Temperate,TemperateTerr
Plethodon_variolatus,0.761776326,T,Temperate,TemperateTerr
Plethodon_cylindraceus,0.721783468,T,Temperate,TemperateTerr
Plethodon_teyahalee,0.624248141,T,Temperate,TemperateTerr
Plethodon_caddoensis,1.013854188,T,Temperate,TemperateTerr
Plethodon_fourchensis,0.77485054,T,Temperate,TemperateTerr
Plethodon_ouachitae,0.778019066,T,Temperate,TemperateTerr
Plethodon_kentucki,0.841399318,T,Temperate,TemperateTerr
Plethodon_petraeus,0.634154787,T,Temperate,TemperateTerr
Plethodon_yonahlossee,0.577172482,T,Temperate,TemperateTerr
Plethodon_angusticlavius,1.263358054,T,Temperate,TemperateTerr
Plethodon_dorsalis,1.309311628,T,Temperate,TemperateTerr
Plethodon_ventralis,1.344662413,T,Temperate,TemperateTerr
Plethodon_welleri,1.260305068,T,Temperate,TemperateTerr
Plethodon_punctatus,0.886645216,T,Temperate,TemperateTerr
Plethodon_wehrlei,0.698461199,T,Temperate,TemperateTerr
Plethodon_websteri,1.386064978,T,Temperate,TemperateTerr
Plethodon_cinereus,1.196926038,T,Temperate,TemperateTerr
Plethodon_shenandoah,1.032410696,T,Temperate,TemperateTerr
Plethodon_hoffmani,1.172353749,T,Temperate,TemperateTerr
Plethodon_virginia,1.168483035,T,Temperate,TemperateTerr
Plethodon_electromorphus,1.302987437,T,Temperate,TemperateTerr
Plethodon_richmondi,1.2776664,T,Temperate,TemperateTerr
Plethodon_hubrichti,1.151508377,T,Temperate,TemperateTerr
Plethodon_nettingi,1.203547281,T,Temperate,TemperateTerr
Plethodon_serratus,1.274737296,T,Temperate,TemperateTerr
Plethodon_asupak,1.055064969,T,Temperate,TemperateTerr
Plethodon_elongatus,0.869482735,T,Temperate,TemperateTerr
Plethodon_stormi,0.93892776,T,Temperate,TemperateTerr
Plethodon_dunni,0.796549635,T,Temperate,TemperateTerr
Plethodon_vehiculum,1.023905663,T,Temperate,TemperateTerr
Plethodon_idahoensis,0.983375268,T,Temperate,TemperateTerr
Plethodon_vandykei,1.108738168,T,Temperate,TemperateTerr
Plethodon_larselli,1.171040602,T,Temperate,TemperateTerr
Plethodon_neomexicanus,0.897752598,T,Temperate,TemperateTerr
Aquiloeurycea_cephalica,0.70455062,T,Tropical,TropicalTerr
Aquiloeurycea_galeanae,0.711953802,T,Temperate,TemperateTerr
Isthmura_bellii,0.468654231,T,Tropical,TropicalTerr
Ixalotriton_niger,0.839163632,A,Tropical,TropicalArb
Ixalotriton_parvus,1.250223953,A,Tropical,TropicalArb
Parvimolge_townsendi,1.757125293,T,Tropical,TropicalTerr
Pseudoeurycea_altamontana,1.006231736,T,Tropical,TropicalTerr
Pseudoeurycea_robertsi,0.825508629,T,Tropical,TropicalTerr
Pseudoeurycea_longicauda,1.017019764,T,Tropical,TropicalTerr
Pseudoeurycea_mixcoatl,0.973388226,T,Tropical,TropicalTerr
Pseudoeurycea_tenchalli,0.96336373,T,Tropical,TropicalTerr
Pseudoeurycea_gadovii,0.783721204,T,Tropical,TropicalTerr
Pseudoeurycea_melanomolga,0.78295292,T,Tropical,TropicalTerr
Pseudoeurycea_cochranae,0.717040823,T,Tropical,TropicalTerr
Pseudoeurycea_papenfussi,0.744452193,S,Tropical,TropicalTerr
Pseudoeurycea_smithi,0.679544897,T,Tropical,TropicalTerr
Pseudoeurycea_rex,0.910618753,T,Tropical,TropicalTerr
Pseudoeurycea_aurantia,0.947084491,T,Tropical,TropicalTerr
Pseudoeurycea_juarezi,0.906192967,T,Tropical,TropicalTerr
Pseudoeurycea_saltator,1.073162742,A,Tropical,TropicalArb
Pseudoeurycea_ruficauda,1.834582329,A,Tropical,TropicalArb
Pseudoeurycea_unguidentis,0.780900724,A,Tropical,TropicalArb
Pseudoeurycea_firscheini,1.105426738,A,Tropical,TropicalArb
Pseudoeurycea_leprosa,0.861320242,T,Tropical,TropicalTerr
Pseudoeurycea_lineolus,1.86698343,T,Tropical,TropicalTerr
Pseudoeurycea_obesa,1.123403385,T,Tropical,TropicalTerr
Pseudoeurycea_werleri,0.688020469,T,Tropical,TropicalTerr
Pseudoeurycea_orchileucos,2.179179665,T,Tropical,TropicalTerr
Pseudoeurycea_orchimelas,2.108706488,T,Tropical,TropicalTerr
Bolitoglossa_adspersa,0.985357079,T,Tropical,TropicalTerr
Bolitoglossa_medemi,0.965672043,A,Tropical,TropicalArb
Bolitoglossa_mucuyensis,1.037536439,T,Tropical,TropicalTerr
Bolitoglossa_orestes,1.289354189,T,Tropical,TropicalTerr
Bolitoglossa_equatoriana,0.727389128,A,Tropical,TropicalArb
Bolitoglossa_palmata,0.945895548,T,Tropical,TropicalTerr
Bolitoglossa_peruviana,1.150128415,T,Tropical,TropicalTerr
Bolitoglossa_biseriata,0.981518086,A,Tropical,TropicalArb
Bolitoglossa_robinsoni,0.852248816,T,Tropical,TropicalTerr
Bolitoglossa_colonnea,1.007788915,A,Tropical,TropicalArb
Bolitoglossa_compacta,0.690921201,T,Tropical,TropicalTerr
Bolitoglossa_robusta,0.698785094,T,Tropical,TropicalTerr
Bolitoglossa_schizodactyla,0.713769907,A,Tropical,TropicalArb
Bolitoglossa_nigrescens,0.727590369,T,Tropical,TropicalTerr
Bolitoglossa_cerroensis,0.649348613,T,Tropical,TropicalTerr
Bolitoglossa_epimela,1.040749616,T,Tropical,TropicalTerr
Bolitoglossa_marmorea,0.757271695,T,Tropical,TropicalTerr
Bolitoglossa_minutula,1.230856213,T,Tropical,TropicalTerr
Bolitoglossa_bramei,1.367597016,A,Tropical,TropicalArb
Bolitoglossa_gomezi,1.343256013,A,Tropical,TropicalArb
Bolitoglossa_subpalmata,0.864581144,A,Tropical,TropicalArb
Bolitoglossa_tica,0.988878877,T,Tropical,TropicalTerr
Bolitoglossa_gracilis,1.217153927,T,Tropical,TropicalTerr
Bolitoglossa_pesrubra,0.851273752,T,Tropical,TropicalTerr
Bolitoglossa_alberchi,0.689703255,T,Tropical,TropicalTerr
Bolitoglossa_odonnelli,0.734784988,T,Tropical,TropicalTerr
Bolitoglossa_yucatana,1.162993917,T,Tropical,TropicalTerr
Bolitoglossa_mexicana,0.711684523,A,Tropical,TropicalArb
Bolitoglossa_mulleri,0.654070465,T,Tropical,TropicalTerr
Bolitoglossa_mombachoensis,0.755595824,A,Tropical,TropicalArb
Bolitoglossa_flaviventris,0.858685795,T,Tropical,TropicalTerr
Bolitoglossa_platydactyla,0.752661275,A,Tropical,TropicalArb
Bolitoglossa_chinanteca,1.266984153,A,Tropical,TropicalArb
Bolitoglossa_occidentalis,1.085386481,A,Tropical,TropicalArb
Bolitoglossa_rufescens,1.222575158,A,Tropical,TropicalArb
Bolitoglossa_nympha,1.109779633,T,Tropical,TropicalTerr
Bolitoglossa_hartwegi,0.906755869,S,Tropical,TropicalTerr
Bolitoglossa_stuarti,0.950595478,A,Tropical,TropicalArb
Bolitoglossa_alvaradoi,0.695737674,A,Tropical,TropicalArb
Bolitoglossa_dofleini,0.369981845,T,Tropical,TropicalTerr
Bolitoglossa_sombra,0.887623713,A,Tropical,TropicalArb
Bolitoglossa_hermosa,0.820680473,A,Tropical,TropicalArb
Bolitoglossa_riletti,0.95393355,A,Tropical,TropicalArb
Bolitoglossa_zapoteca,0.864263226,T,Tropical,TropicalTerr
Bolitoglossa_macrinii,1.051957915,T,Tropical,TropicalTerr
Bolitoglossa_oaxacensis,0.951584823,T,Tropical,TropicalTerr
Bolitoglossa_carri,1.080824675,A,Tropical,TropicalArb
Bolitoglossa_conanti,1.040926673,A,Tropical,TropicalArb
Bolitoglossa_diaphora,0.80570427,T,Tropical,TropicalTerr
Bolitoglossa_dunni,0.739699971,A,Tropical,TropicalArb
Bolitoglossa_cataguana,0.610983177,A,Tropical,TropicalArb
Bolitoglossa_decora,1.078454756,T,Tropical,TropicalTerr
Bolitoglossa_longissima,0.737188838,A,Tropical,TropicalArb
Bolitoglossa_porrasorum,0.919163752,A,Tropical,TropicalArb
Bolitoglossa_celaque,1.00732278,A,Tropical,TropicalArb
Bolitoglossa_synoria,1.044743806,A,Tropical,TropicalArb
Bolitoglossa_heiroreias,0.843295184,T,Tropical,TropicalTerr
Bolitoglossa_eremia,0.851015528,T,Tropical,TropicalTerr
Bolitoglossa_suchitanensis,0.854676841,T,Tropical,TropicalTerr
Bolitoglossa_kaqchikelorum,1.285232425,T,Tropical,TropicalTerr
Bolitoglossa_morio,0.803547294,T,Tropical,TropicalTerr
Bolitoglossa_flavimembris,0.710951983,T,Tropical,TropicalTerr
Bolitoglossa_franklini,0.938830538,A,Tropical,TropicalArb
Bolitoglossa_meliana,0.738757058,T,Tropical,TropicalTerr
Bolitoglossa_lincolni,0.759813809,T,Tropical,TropicalTerr
Bolitoglossa_cuchumatana,0.980721192,T,Tropical,TropicalTerr
Bolitoglossa_helmrichi,1.029049373,A,Tropical,TropicalArb
Bolitoglossa_rostrata,1.060380354,T,Tropical,TropicalTerr
Bolitoglossa_engelhardti,1.053758082,A,Tropical,TropicalArb
Chiropterotriton_arboreus,1.482900975,A,Tropical,TropicalArb
Chiropterotriton_multidentatus,1.162318289,A,Tropical,TropicalArb
Chiropterotriton_magnipes,0.763577539,C,Tropical,TropicalTerr
Chiropterotriton_cracens,1.717168029,A,Tropical,TropicalArb
Chiropterotriton_mosaueri,1.365856618,T,Tropical,TropicalTerr
Chiropterotriton_miquihuanus,1.516141553,T,Temperate,TemperateTerr
Chiropterotriton_priscus,0.886438358,T,Temperate,TemperateTerr
Chiropterotriton_dimidiatus,1.988253956,T,Tropical,TropicalTerr
Chiropterotriton_lavae,1.346096774,A,Tropical,TropicalArb
Chiropterotriton_chondrostega,1.934273648,T,Tropical,TropicalTerr
Thorius_arboreus,2.901598707,A,Tropical,TropicalArb
Thorius_macdougalli,2.404608222,T,Tropical,TropicalTerr
Thorius_papaloae,2.570675787,T,Tropical,TropicalTerr
Thorius_grandis,1.860235243,T,Tropical,TropicalTerr
Thorius_omiltemi,1.954232897,T,Tropical,TropicalTerr
Thorius_pulmonaris,2.078068613,T,Tropical,TropicalTerr
Thorius_aureus,1.454601896,T,Tropical,TropicalTerr
Thorius_boreas,1.727600684,T,Tropical,TropicalTerr
Thorius_minutissimus,1.829691544,T,Tropical,TropicalTerr
Thorius_narisovalis,1.940517972,T,Tropical,TropicalTerr
Thorius_dubitus,2.177077595,T,Tropical,TropicalTerr
Thorius_troglodytes,1.869122113,T,Tropical,TropicalTerr
Thorius_magnipes,2.189230585,A,Tropical,TropicalArb
Thorius_schmidti,2.416108016,T,Tropical,TropicalTerr
Thorius_minydemus,2.30619407,T,Tropical,TropicalTerr
Thorius_spilogaster,2.131786046,T,Tropical,TropicalTerr
Thorius_pennatulus,2.917955394,T,Tropical,TropicalTerr
Thorius_lunaris,1.618699043,T,Tropical,TropicalTerr
Thorius_munificus,2.196516664,T,Tropical,TropicalTerr
Bradytriton_silus,0.792805325,T,Tropical,TropicalTerr
Oedipina_elongata,1.119341648,T,Tropical,TropicalTerr
Oedipina_complex,1.663816841,F,Tropical,TropicalTerr
Oedipina_maritima,1.893588863,T,Tropical,TropicalTerr
Oedipina_parvipes,1.367940702,F,Tropical,TropicalTerr
Oedipina_gephyra,1.130054878,T,Tropical,TropicalTerr
Oedipina_cyclocauda,1.512531516,T,Tropical,TropicalTerr
Oedipina_pseudouniformis,1.327071411,T,Tropical,TropicalTerr
Oedipina_grandis,1.337341584,T,Tropical,TropicalTerr
Oedipina_poelzi,1.162656651,T,Tropical,TropicalTerr
Oedipina_gracilis,1.912128173,T,Tropical,TropicalTerr
Oedipina_uniformis,1.719030982,T,Tropical,TropicalTerr
Oedipina_taylori,1.715854172,T,Tropical,TropicalTerr
Oedipina_nica,1.640304101,T,Tropical,TropicalTerr
Nototriton_abscondens,1.821624911,T,Tropical,TropicalTerr
Nototriton_picadoi,1.747253727,A,Tropical,TropicalArb
Nototriton_richardi,2.158350121,T,Tropical,TropicalTerr
Nototriton_barbouri,1.425845969,T,Tropical,TropicalTerr
Nototriton_brodiei,1.392739598,T,Tropical,TropicalTerr
Nototriton_limnospectator,1.507358987,T,Tropical,TropicalTerr
Nyctanolis_pernix,0.692222028,T,Tropical,TropicalTerr
Cryptotriton_alvarezdeltoroi,1.727704397,T,Tropical,TropicalTerr
Cryptotriton_sierraminensis,1.812212467,A,Tropical,TropicalArb
Cryptotriton_veraepacis,1.588526825,A,Tropical,TropicalArb
Cryptotriton_nasalis,1.587129736,A,Tropical,TropicalArb
Cryptotriton_necopinus,1.569172961,T,Tropical,TropicalTerr
Cryptotriton_monzoni,2.145608321,A,Tropical,TropicalArb
Dendrotriton_bromeliacius,1.636811438,A,Tropical,TropicalArb
Dendrotriton_rabbi,1.617334279,A,Tropical,TropicalArb
Dendrotriton_megarhinus,1.449091037,A,Tropical,TropicalArb
Dendrotriton_xolocalcae,1.640405974,A,Tropical,TropicalArb
Dendrotriton_sanctibarbarus,1.541960563,A,Tropical,TropicalArb
Dendrotriton_chujorum,1.54391333,A,Tropical,TropicalArb
Dendrotriton_cuchumatanus,1.81457196,T,Tropical,TropicalTerr
Dendrotriton_kekchiorum,1.309765801,T,Tropical,TropicalTerr
Batrachoseps_altasierrae,1.733373964,T,Temperate,TemperateTerr
Batrachoseps_kawia,1.44338804,T,Temperate,TemperateTerr
Batrachoseps_diabolicus,1.637112358,T,Temperate,TemperateTerr
Batrachoseps_bramei,1.775574179,T,Temperate,TemperateTerr
Batrachoseps_gregarius,1.872741333,T,Temperate,TemperateTerr
Batrachoseps_nigriventris,1.546582033,T,Temperate,TemperateTerr
Batrachoseps_simatus,1.427353115,T,Temperate,TemperateTerr
Batrachoseps_relictus,1.474466662,T,Temperate,TemperateTerr
Batrachoseps_gabrieli,1.44855917,T,Temperate,TemperateTerr
Batrachoseps_gavilanensis,1.688432891,T,Temperate,TemperateTerr
Batrachoseps_incognitus,1.809452061,T,Temperate,TemperateTerr
Batrachoseps_luciae,1.472440484,T,Temperate,TemperateTerr
Batrachoseps_major,1.26150212,F,Temperate,TemperateTerr
Batrachoseps_pacificus,1.577985819,T,Temperate,TemperateTerr
Batrachoseps_attenuatus,1.330297971,T,Temperate,TemperateTerr
Batrachoseps_campi,1.049462007,T,Temperate,TemperateTerr
Batrachoseps_wrighti,1.498188688,T,Temperate,TemperateTerr
Batrachoseps_robustus,1.277340027,T,Temperate,TemperateTerr
Hemidactylium_scutatum,1.22681716,T,Temperate,TemperateTerr
Eurycea_aquatica,1.127792947,W,Temperate,Aquatic
Eurycea_junaluska,1.008444491,T,Temperate,TemperateTerr
Eurycea_cirrigera,1.254756864,W,Temperate,Aquatic
Eurycea_wilderae,1.175734481,W,Temperate,Aquatic
Eurycea_bislineata,1.12459297,W,Temperate,Aquatic
Eurycea_guttolineata,0.880851505,T,Temperate,TemperateTerr
Eurycea_longicauda,0.95248404,T,Temperate,TemperateTerr
Eurycea_lucifuga,0.905878396,C,Temperate,TemperateTerr
Eurycea_wallacei,1.549675616,W,Temperate,Aquatic
Eurycea_chamberlaini,1.523237409,W,Temperate,Aquatic
Eurycea_quadridigitata,1.497145635,W,Temperate,Aquatic
Eurycea_chisholmensis,1.556650859,W,Temperate,Aquatic
Eurycea_tonkawae,1.650327073,W,Temperate,Aquatic
Eurycea_naufragia,1.539321172,W,Temperate,Aquatic
Eurycea_latitans,1.727138531,W,Temperate,Aquatic
Eurycea_troglodytes,1.455597989,W,Temperate,Aquatic
Eurycea_nana,1.917663584,W,Temperate,Aquatic
Eurycea_neotenes,1.323770967,W,Temperate,Aquatic
Eurycea_pterophila,1.281583319,W,Temperate,Aquatic
Eurycea_tridentifera,1.206297463,W,Temperate,Aquatic
Eurycea_sosorum,2.102782424,W,Temperate,Aquatic
Eurycea_rathbuni,0.498025914,W,Temperate,Aquatic
Eurycea_multiplicata,1.450001303,W,Temperate,Aquatic
Eurycea_spelaea,1.130261679,C,Temperate,TemperateTerr
Eurycea_tynerensis,1.854905081,W,Temperate,Aquatic
Eurycea_subfluvicola,1.383027151,W,Temperate,Aquatic
Urspelerpes_brucei,1.998871928,T,Temperate,TemperateTerr
Gyrinophilus_palleucus,0.541503316,W,Temperate,Aquatic
Gyrinophilus_porphyriticus,0.506550253,W,Temperate,Aquatic
Gyrinophilus_subterraneus,0.348751453,W,Temperate,Aquatic
Pseudotriton_montanus,0.543370344,T,Temperate,TemperateTerr
Pseudotriton_ruber,0.508814605,T,Temperate,TemperateTerr
Stereochilus_marginatus,1.093468553,W,Temperate,Aquatic
