"ID","TotalSA","TotalV","SAtoV","Species","SVL"
"CAS-164095",1430.51411253688,1988.98371638944,0.719218614385472,"Pseudoeurycea rex",59.16
"CAS-164066",1153.15635508197,1338.06994477909,0.861805737122623,"Pseudoeurycea rex",50.79
"CAS-164075",1324.50061560753,1703.18124023161,0.77766275503799,"Pseudoeurycea rex",54.53
"CAS-69415",642.607092314069,546.866859351814,1.17507046061583,"Pseudoeurycea rex",38.49
"CAS-69470",1436.45047141751,2085.7775732835,0.688688233020074,"Bolitoglossa morio",55.38
"CAS-164060",1191.99002526306,1537.4696919491,0.775293348223299,"Pseudoeurycea rex",49.01
"CAS-79625",1781.00286479431,2530.42650645346,0.703835049250449,"Bolitoglossa marmorea",62.99
"CAS-98950",1269.60764457063,1760.54625379361,0.721144157294867,"Pseudoeurycea gadovii",47.93
"CAS-9725",1387.03448560677,1868.22627713475,0.742433881046798,"Pseudoeurycea gadovii",54.59
"CAS-69462",834.796283730961,905.992234366912,0.921416599463789,"Bolitoglossa morio",41.78
"CAS-69340",687.928538097213,660.872254427237,1.04094026264338,"Pseudoeurycea rex",40.31
"CAS-69444",1259.00394928802,1750.39110895966,0.719270077894937,"Bolitoglossa morio",52.17
"KU-34745",665.070878333287,423.261935361522,1.57129858078362,"Oedipina cyclocauda",40.78
"KU-30517",655.161966455834,420.197920181047,1.55917470075423,"Oedipina cyclocauda",39.68
"KU-30513",771.326996747273,518.075232775137,1.48883202274612,"Oedipina cyclocauda",43.29
"KU-30508",785.503204771907,496.509270479628,1.58205143685054,"Oedipina cyclocauda",42.22
"KU-30502",869.001971420998,574.550330443633,1.51249059547143,"Oedipina cyclocauda",46.88
"KU-34757",642.444776368122,398.489761112958,1.61219895480831,"Oedipina cyclocauda",39.74
"KU-34749",768.943156537254,498.007328962838,1.54403984001335,"Oedipina cyclocauda",43.63
"KU-30516",646.317223914785,449.164384893664,1.43893248363357,"Oedipina cyclocauda",41.19
"KU-173532",1114.69933980109,852.776403674837,1.30714139720278,"Oedipina cyclocauda",49.03
"KU-30499",800.117775634106,548.120360059866,1.45974832160352,"Oedipina cyclocauda",40.91
"KU-124107",467.850432634131,381.082343665037,1.22768855710975,"Bolitoglossa peruviana",31.21
"KU-124116",580.103422035972,567.676244762012,1.02189131109259,"Bolitoglossa peruviana",33.48
"KU-124106",542.724176094509,509.115706519333,1.06601342120232,"Bolitoglossa peruviana",32.44
"KU-152378",557.635351630677,487.824698000063,1.14310602541613,"Bolitoglossa peruviana",33.81
"KU-124115",597.199892203856,531.921038068312,1.12272282813367,"Bolitoglossa peruviana",37.25
"KU-124037",552.106404753115,506.614124898482,1.08979670644546,"Bolitoglossa peruviana",33.15
"KU-124048",467.821039999361,386.613199744029,1.21004932141246,"Bolitoglossa peruviana",31.23
"KU-30503",643.34009014927,411.885715926892,1.56193833695233,"Oedipina cyclocauda",39.83
"KU-124089",561.784188558462,531.547531706115,1.0568842014096,"Bolitoglossa peruviana",34.36
"KU-124038",472.303605662309,386.4616357333,1.22212287583508,"Bolitoglossa peruviana",31.01
"KU-217421",699.24773661603,597.237152442929,1.17080415000279,"Bolitoglossa peruviana",41.01
"KU-124026",485.836079226993,382.818546528707,1.26910277370943,"Bolitoglossa peruviana",32.86
"KU-124123",550.347787158209,492.655724955669,1.11710421554064,"Bolitoglossa peruviana",35.33
"KU-124112",537.890699594951,487.898643474134,1.10246401950381,"Bolitoglossa peruviana",34.54
"KU-124031",437.840428514553,335.199386282149,1.30620892051994,"Bolitoglossa peruviana",29.96
"KU-124095",548.024420116372,486.7145053508,1.12596689453786,"Bolitoglossa peruviana",33.58
"KU-36140",969.555191226676,678.28820699248,1.42941478449945,"Oedipina pseudouniformis",44.12
"KU-36201",1166.26307380737,894.547323439336,1.30374664732475,"Oedipina pseudouniformis",47.86
"KU-36203",722.025677352033,471.769691601243,1.53046219417231,"Oedipina pseudouniformis",41.83
"KU-37466",1007.21498685877,767.14632199702,1.31293725587683,"Oedipina pseudouniformis",46.88
"KU-36204",1124.49929484892,919.242544126392,1.22328900248802,"Oedipina pseudouniformis",49.28
"KU-35252",891.179879835866,682.271573074837,1.30619523809197,"Oedipina pseudouniformis",45.58
"KU-36137",1064.12176463697,795.306451633576,1.33800217821852,"Oedipina pseudouniformis",49.43
"KU-36205",1194.19825368255,985.704679027088,1.21151728209432,"Oedipina pseudouniformis",51.53
"KU-36221",901.290183307118,646.075715155251,1.39502253708846,"Oedipina pseudouniformis",44.06
"KU-36207",1062.9456038899,861.272807808012,1.23415669722019,"Oedipina pseudouniformis",47.84
"KU-36219",912.85960173335,666.279795136815,1.37008447261394,"Oedipina pseudouniformis",44.03
"KU-36143",1005.60391303633,791.796247902786,1.27002864145902,"Oedipina pseudouniformis",51.64
"KU-86636",1011.25854077964,1021.95777352315,0.989530650853972,"Pseudoeurycea saltator",46.89
