"lambda_input","n32","n64","n128","n256","n512","n1024"
0,0.386434361826976,0.389947576700107,0.291614022515982,0.277026441044582,0.220316716882523,0.188522849705482
0.05,0.364409955923375,0.377082694469999,0.284919572309491,0.344452890251555,0.221420989752157,0.145438316411995
0.1,0.434984957150864,0.380295264379901,0.281160622803875,0.208064442075084,0.281508665210169,0.192533639516503
0.15,0.389640465807303,0.30229552722653,0.31413000433725,0.251233286229537,0.231178573298492,0.177351620437727
0.2,0.383505306296096,0.286145062134022,0.270040921005488,0.261477086638677,0.219407595683816,0.193964940978475
0.25,0.321423007338714,0.338320117988931,0.267337997447937,0.228393896572306,0.237932725031296,0.1656259584608
0.3,0.609418699540951,0.325404126692075,0.310421341781541,0.256380693905245,0.256457854378775,0.180693945280244
0.35,0.474677001894794,0.480308406711351,0.25364108946677,0.259099790328587,0.275739791425702,0.211584891118853
0.4,0.391216507316509,0.286999313678246,0.295316399202952,0.277832477132552,0.295378713236519,0.367325432339549
0.45,0.425272509417616,0.381332048305369,0.288414515328091,0.417358344259034,0.281032685524982,0.205891142445953
0.5,0.525711805540798,0.414487230034608,0.309101309346458,0.393207870585294,0.274388009119771,0.222673545302264
0.55,0.708208856309936,0.395576875337685,0.291350016028965,0.459200799914295,0.26222196836639,0.266796165370369
0.6,0.611053251199563,0.360632876272251,0.495709894585981,0.341366486243821,0.295978447639855,0.303058423838247
0.65,0.439395043908121,0.437238066032914,0.329322949078177,0.338820840624219,0.31253302109066,0.298280865386884
0.7,0.702596189868259,0.436544442984185,0.348381703093276,0.477617194076145,0.402964401479345,0.291722044401802
0.75,0.618075395859569,0.427629561484207,0.419883459993588,0.418858183561965,0.46443717782125,0.537662102754862
0.8,0.67432649959699,0.679086169886538,0.480221514014344,0.450543564209957,0.347003469891905,0.451437986111657
0.85,0.650423017200197,0.501277726668711,0.586389837007424,0.41076211222267,0.517489873532198,0.400324008902381
0.9,0.650870091069654,0.66359282136651,0.51726413849026,0.641625132001163,0.630949151090231,0.482214899690933
0.95,0.517938600336985,0.596274879163564,0.504440966263743,0.500573918100612,0.573741152727602,0.542604811374915
1,0.607168547679295,0.540390765321768,0.624670777624822,0.577366710709567,0.622148286711123,0.718650959050622
