"lambda_input","n32","n64","n128","n256","n512","n1024"
0,0.135239350337045,0.0868313026300362,0.0595479788956563,0.0446487881568743,0.0308986795959464,0.0178796670746332
0.05,0.107311086800553,0.129401836434375,0.0520697317644111,0.0487420829263203,0.037090060616843,0.0181374716220478
0.1,0.139116075662197,0.107971514711113,0.0565427295098324,0.0464338512539441,0.0317174182629862,0.0191964393375447
0.15,0.139806594420027,0.128266051051105,0.0747330825736383,0.0630809198298993,0.0337984677434141,0.0190640528854841
0.2,0.13069584824342,0.107317062085127,0.0688715633455628,0.0569969315238064,0.0400307981939541,0.0272900496385552
0.25,0.110949289617218,0.140285542211997,0.0716570070252866,0.06012250619851,0.0471518561363591,0.0239998682011488
0.3,0.289072030752315,0.153919616508291,0.071959647884341,0.056950226109724,0.0596584448156671,0.0263295543037886
0.35,0.141837316965304,0.152522221559374,0.0945359902097924,0.05899470631654,0.0510958060622626,0.0299071286611258
0.4,0.14704803305864,0.16299420255883,0.0842146478895416,0.0944439728902406,0.0668701982450173,0.0435262361937508
0.45,0.156381915540552,0.246594766465929,0.0871070755862939,0.111746689858231,0.0585487683959456,0.0247828986100825
0.5,0.244950312236474,0.194063976389276,0.0764493814540528,0.106699776117558,0.0701024141782218,0.0395154455176253
0.55,0.361148654473184,0.216890416747142,0.0907207490642367,0.101407467899584,0.0578335024919062,0.0393799332993112
0.6,0.363485001479307,0.281665269398467,0.214162361123182,0.0933430998082466,0.0615931577538385,0.0547891996808085
0.65,0.211135328785089,0.270668495214099,0.136804923173404,0.131849928767003,0.101928044290612,0.0415279784603515
0.7,0.350463826076102,0.241225365069065,0.173674663054685,0.172229747053463,0.119505339695076,0.0498226928942139
0.75,0.347798079448277,0.290030463277019,0.200080103737469,0.131809434102948,0.144275619898746,0.114932250285367
0.8,0.335191431697396,0.548826015539543,0.234169352507842,0.190790634787215,0.110180538285537,0.10104942575056
0.85,0.296901934998532,0.458591707915492,0.30288254624822,0.232557815144409,0.233544670128741,0.0785293462759636
0.9,0.461350984075948,0.523092235027537,0.273380821779267,0.348008389910132,0.262386834115745,0.204142931069987
0.95,0.444658450032774,0.841935305144107,0.437983786284929,0.475674816291716,0.384530667493286,0.219012966245185
1,0.836590464359755,0.789089559171278,0.83658468480147,0.749777867198445,0.698458960233979,0.752230464296403
