"lambda_input","n32","n64","n128","n256","n512","n1024"
0,0.000682184549367688,0.000461623954244119,0.000225535598337386,8.63461660032489e-05,6.56119773639472e-05,6.56119773639472e-05
0.05,0.000676484808995103,0.000554218877946565,0.000146645416182009,0.000129783056587153,7.55185709632761e-05,7.55185709632761e-05
0.1,0.000918298018532265,0.000781141461791902,0.000170780708046929,0.000143796251311094,7.50374600636038e-05,7.50374600636038e-05
0.15,0.00103360262102871,0.000831713329642138,0.000308132943947489,0.000144699560166934,8.2407076401557e-05,8.2407076401557e-05
0.2,0.000883350732521172,0.000711564016549339,0.000284935004586644,0.000160291181720019,8.99095652890984e-05,8.99095652890984e-05
0.25,0.00087087294661569,0.000875082826422793,0.000283812416209572,0.000181681279071024,7.8179356377459e-05,7.8179356377459e-05
0.3,0.00234686752746,0.00109601566302564,0.000348059695211517,0.000158397456477345,0.000127875984980646,0.000127875984980646
0.35,0.00144320931285176,0.00102332964972504,0.000395873286986654,0.00024056268294967,0.00014470980972092,0.00014470980972092
0.4,0.00149422861824833,0.00261477872802823,0.000369816496844286,0.000295465646233332,0.000167929297907685,0.000167929297907685
0.45,0.00141229990726776,0.00145952105082632,0.00042581972939951,0.000580633660385396,0.000217965373538742,0.000217965373538742
0.5,0.00248300754815625,0.00163391403154103,0.000367677126442278,0.000354205143689486,0.000182840073736288,0.000182840073736288
0.55,0.00343331550875678,0.00268379294057192,0.000434903253545178,0.000369376782102474,0.000206973680767078,0.000206973680767078
0.6,0.00405540431017202,0.00158559005024556,0.00130293151772014,0.000582272810959,0.000187227456011116,0.000187227456011116
0.65,0.00197679250972505,0.00443880000341402,0.0010569407508529,0.000837192874083256,0.000509462521692845,0.000509462521692845
0.7,0.00522529565257747,0.009089291506932,0.00135203163086572,0.00159276577487565,0.000655823679513455,0.000655823679513455
0.75,0.00566162633914251,0.00909480040903341,0.00174484763756444,0.000986900802884557,0.000994114475572909,0.000994114475572909
0.8,0.00512122765037391,0.0158099559852508,0.00243936546614497,0.00160624422255989,0.00089556406980314,0.00089556406980314
0.85,0.00727342153449431,0.0168611072334765,0.00472658901002827,0.00197629308383843,0.00247281070295616,0.00247281070295616
0.9,0.010531518857839,0.0292148393456682,0.00422285089390471,0.00629214656486421,0.00444035386604361,0.00444035386604361
0.95,0.00828027788688249,0.0297956990273162,0.00811843277020568,0.00719414307297048,0.00778037004720179,0.00778037004720179
1,0.0341219507004911,0.0361790358309436,0.0249978310881134,0.028675429077538,0.0183158533147286,0.0183158533147286
