"lambda_input","n32","n64","n128","n256","n512","n1024"
0,0.0234380403488651,0.00181828219620524,0.00527633260704864,0.000502901058667938,0.000200870057397596,0.000200870057397596
0.05,0.0126642788942876,0.024790375706403,0.00525987719055555,0.00222816486336973,0.000941520619101233,0.000941520619101233
0.1,0.0135445970923353,0.0122631728006646,0.00844958053778163,0.00353041831969057,0.00242028020501255,0.00242028020501255
0.15,0.0331437178199318,0.0165177219793918,0.012411996386675,0.0045101796220342,0.00414969437246225,0.00414969437246225
0.2,0.0353291600170249,0.0257005393951102,0.0159259725403402,0.0111435265882852,0.00532584671863874,0.00532584671863874
0.25,0.0428210998201908,0.0218138544876949,0.023058680287008,0.0132487045526325,0.00519272873183864,0.00519272873183864
0.3,0.0674719444840591,0.0393782371168521,0.0203918691217064,0.00938989207146345,0.00615484189330848,0.00615484189330848
0.35,0.051376984100268,0.042293555859385,0.018705720307236,0.012389197824152,0.00494395684292466,0.00494395684292466
0.4,0.0651677937806122,0.0495154934804805,0.0248226031785027,0.0109812678406051,0.00580490143845238,0.00580490143845238
0.45,0.0731930783985667,0.053657306668237,0.0222631093427135,0.018440562020357,0.00343320846097852,0.00343320846097852
0.5,0.0998182135766991,0.049998560126309,0.0207232178042338,0.014914754088148,0.00649652246067185,0.00649652246067185
0.55,0.0840466309769561,0.0575653506520405,0.0253359704385325,0.00709644646482067,0.00542762510303962,0.00542762510303962
0.6,0.0647863639385057,0.0360437860589487,0.025752279412887,0.0102195949044591,0.00287920875690186,0.00287920875690186
0.65,0.0896291684962549,0.0372803636890584,0.0196116766482835,0.00712893208185209,0.00312043137721843,0.00312043137721843
0.7,0.0850019086042809,0.0401245660927694,0.00895827835060714,0.00511825992118214,0.001618888474647,0.001618888474647
0.75,0.0867706164307652,0.0201772109581591,0.00744528205907963,0.00429813235004343,0.00229550536994146,0.00229550536994146
0.8,0.0359394901671724,0.0216745940773883,0.00726700730544418,0.0035539033874725,0.00145123890081515,0.00145123890081515
0.85,0.0717823158935318,0.0101847147553423,0.00765294884090679,0.00260848669381236,0.000653596411537835,0.000653596411537835
0.9,0.0494471640262647,0.00554718573320866,0.00330122035363387,0.000641855474536203,0.000361092806108966,0.000361092806108966
0.95,0.00867960912140523,0.0024503144920046,0.000576937956581726,0.000302949929371991,0.000120573254136645,0.000120573254136645
1,0.0014423772722917,1.0095949637811e-05,7.95166158485204e-06,1.141550747981e-06,8.23749737892237e-10,8.23749737892237e-10
