lambda.input,lambda.est,kappa,kappa.z,CI.lower,CI.upper
0,1.00E-06,0.033734969,1.001343368,0,0.013353098
0,1.00E-06,0.019805657,-1.00632077,0,0.02956883
0,1.00E-06,0.025665856,-0.942244466,0,0.024353901
0,0.004035748,0.038336594,1.195509006,0,0.052504306
0,0.009651654,0.027078058,0.722679428,0,0.062665924
0,0.047381516,0.008960992,0.131195132,0.007298255,0.114508009
0,0.011116141,0.030365754,-0.679373649,0,0.051900018
0,1.00E-06,0.028528329,0.20346435,0,0.011344825
0,1.00E-06,0.038533572,-0.047929705,0,0.015533471
0,0.007121126,0.017437283,0.522814658,0,0.037435291
0,1.00E-06,0.035543236,0.625268159,0,0.023536704
0,0.019567054,0.024036034,0.285820417,0.002368464,0.056361511
0,0.002135629,0.020092948,-0.323339918,0,0.03509853
0,1.00E-06,0.024605024,-0.835620215,0,0.023072992
0,0.004205388,0.025267359,0.41822844,0,0.037274574
0,0.014527769,0.005800537,-1.347317967,0,0.065643744
0,1.00E-06,0.015750567,-1.904383801,0,0.017822386
0,0.027352068,0.003025384,-2.891887978,0,0.11153343
0,1.00E-06,0.009636138,-0.338323832,0,0.040230016
0,0.008437623,0.020967358,0.330607672,0,0.070211847
0,1.00E-06,0.0356544,1.104496499,0,0.016880054
0,1.00E-06,0.033805362,0.561525766,0,0.031132192
0,1.00E-06,0.00436795,-1.727212291,0,0.031052537
0,0.008739652,0.003912998,-1.600387221,0,0.055609423
0,0.014079204,0.033044031,-0.260331428,0,0.091551014
0,1.00E-06,0.011003676,-1.148949136,0,0.019485526
0,1.00E-06,0.037702185,0.885635362,0,0.024443418
0,0.001329226,0.020020975,0.214359025,0,0.031547072
0,1.00E-06,0.022711185,-1.029276145,0,0.024498532
0,0.026925643,0.001007442,0.525240745,0,0.089422402
0,0.009658781,0.012843532,0.591105434,0,0.052264226
0,1.00E-06,0.027727819,-0.125079009,0,0.014440136
0,0.026087978,0.047484247,1.741686197,0.00070068,0.08561847
0,0.010034358,0.03184237,0.232722936,0,0.082473154
0,1.00E-06,0.023365554,0.661723013,0,0.041630774
0,0.054797386,0.031212428,0.473127698,0.012727851,0.129804363
0,1.00E-06,0.03403357,0.484292842,0,0.025276008
0,0.008705352,0.011327642,-1.509069254,0,0.051370367
0,0.006632423,0.017110878,0.285313197,0,0.047120158
0,0.00598634,0.033344982,2.153082635,0,0.064987341
0,1.00E-06,0.042908504,1.525097106,0,0.017203537
0,1.00E-06,0.022898501,1.014406222,0,0.015870949
0,0.028045668,0.001383801,-3.090822686,0,0.099835986
0,0.007250234,0.03145701,0.502311797,0,0.06524129
0,0.043770652,0.02703822,-0.034288636,0.00703267,0.130469669
0,1.00E-06,0.039745407,2.20531359,0,0.018782322
0,1.00E-06,0.033209957,1.21445646,0,0.025838296
0,0.00352977,0.023491594,-0.792583973,0,0.052431574
0,0.022708012,0.029863655,0.854729415,0,0.100754174
0,0.00584922,0.034752191,1.213089574,0,0.030742469
0.05,0.108949961,0.026738179,0.736178753,0.050557376,0.203329357
0.05,0.015896436,0.024385344,0.881257963,0.000286763,0.066330021
0.05,0.078924233,0.027448331,-0.009654572,0.030910225,0.157235144
0.05,0.057414477,0.007699038,-1.403325933,0.011160126,0.139509147
0.05,0.045721612,0.017149444,-1.033786933,0.012458347,0.111637809
0.05,0.021175944,0.005222095,-2.10250782,0.002803616,0.070643614
0.05,0.023447314,0.012229636,0.074630995,0,0.085323992
0.05,0.078177837,0.040366167,1.652223988,0.030051303,0.161403094
0.05,0.02783043,0.02029881,-0.672043578,0,0.092822648
0.05,0.06470892,0.033488724,0.60707699,0.022835267,0.138628432
0.05,0.069950485,0.041993377,0.718141408,0.01695229,0.156626475
0.05,1.00E-06,0.038147887,1.278120109,0,0.063296706
0.05,0.068530256,0.05190156,1.334610421,0.029899718,0.134626356
0.05,0.053759962,0.036568752,1.257431831,0.01394557,0.135843217
0.05,0.053106195,0.03065531,0.217551032,0.007373931,0.125706345
0.05,0.061818635,0.042128731,1.083428079,0.014820654,0.140663959
0.05,0.082335579,0.038987188,1.823773506,0.03482162,0.161177245
0.05,1.00E-06,0.030591214,0.199326151,0,0.077867358
0.05,1.00E-06,0.03461343,1.254538825,0,0.049525024
0.05,0.034674928,0.030463112,0.793600519,0.002631685,0.138376662
0.05,0.014634925,0.019322805,-2.453459105,0,0.07724969
0.05,0.016598386,0.029300301,0.380303797,0,0.065725291
0.05,0.051560136,0.017800344,-0.458004949,0.013456267,0.126888571
0.05,0.09620477,0.031630017,1.259688529,0.035487065,0.200223809
0.05,0.015025382,0.047854528,1.445091764,0,0.098542141
0.05,0.090426407,0.0308279,0.090460977,0.040510292,0.171533785
0.05,0.013802507,0.039120291,-0.159832448,0,0.076834684
0.05,0.013002375,0.015546601,-1.528795836,0,0.058338281
0.05,0.04528391,0.030902855,1.787520897,0,0.148595211
0.05,0.027196073,0.025011351,0.413058357,0.004908587,0.074593518
0.05,0.031473912,0.034936087,1.66924803,0.005961556,0.082947985
0.05,0.007808732,0.016087769,0.850414631,0,0.042328426
0.05,0.04056095,0.019465748,-1.068956871,0.007869871,0.102867015
0.05,0.12769521,0.037764628,1.071991483,0.05942426,0.230664254
0.05,0.033331516,0.024727125,0.82932777,0.001223605,0.100546696
0.05,0.028294975,0.007015474,-1.385847905,0.006745642,0.072938847
0.05,0.115953752,0.011612875,-0.043514416,0.048470485,0.216256406
0.05,1.00E-06,0.023969431,0.815394038,0,0.040539515
0.05,0.027006824,0.021157087,1.036678488,0,0.106477171
0.05,0.027332455,0.012840998,0.197429011,0,0.077452884
0.05,0.05146206,0.044588043,1.597825571,0.007290484,0.134604549
0.05,1.00E-06,0.025260639,-0.860955728,0,0.069084153
0.05,0.033409733,0.02594613,-0.142950242,0,0.112344356
0.05,0.056185206,0.018465551,-0.689132205,0.009125383,0.138264535
0.05,0.051808969,0.028723779,-1.16396268,0.013816203,0.119054007
0.05,1.00E-06,0.034599871,1.403813667,0,0.133922725
0.05,0.021625583,0.005514704,0.41674395,0,0.085359118
0.05,0.066102839,0.018543475,0.448033299,0.016779438,0.160056643
