"lambda.input","lambda.est","kappa"
0,1e-06,0.0411354446786833
0,0.0207298412428099,0.0670037057515456
0,0.00338642124550762,0.0440843604966823
0,0.0935651007299798,0.102433124088046
0,1e-06,0.047238631241773
0,0.0623179229366193,0.07902912529336
0,0.0651683546202108,0.0553626547349484
0,1e-06,0.0354824215265938
0,0.149657347859001,0.0982725125466699
0,1e-06,0.0322735748064875
0,0.0636388598250433,0.037548240388774
0,1e-06,0.0365025737914458
0,1e-06,0.0714788071532871
0,0.0360205034382607,0.0713374572833794
0,0.096155486369485,0.0838927110667546
0,1e-06,0.143846990219136
0,0.0308279897676131,0.0721024459475935
0,0.187259451736116,0.0279252311446929
0,1e-06,0.0457212715284418
0,1e-06,0.0550578110586808
0,0.0233663729955773,0.0394068086221009
0,1e-06,0.0124153561912406
0,1e-06,0.0646132844858819
0,1e-06,0.0635312148034865
0,0.00118925443903228,0.0201561553543964
0,1e-06,0.117698332263801
0,0.10947617080259,0.0278473149798762
0,0.167186165991868,0.0577640466309802
0,1e-06,0.0353869710566237
0,1e-06,0.0766302856435663
0,1e-06,0.0541638787693752
0,1e-06,0.0535571593863499
0,1e-06,0.00157541762279757
0,1e-06,0.025696697288317
0,0.0788108450011401,0.0013769814477939
0,1e-06,0.0120668541150048
0,1e-06,0.0560904758079322
0,1e-06,0.0198855977800504
0,0.00740782589716171,0.0827418802533986
0,1e-06,0.0917978447594213
0,0.0216865636263901,0.0629430195321568
0,1e-06,0.0481155567374204
0,1e-06,0.0592968952143287
0,0.230680819581285,0.112482707861676
0,1e-06,0.0582343323486264
0,1e-06,0.0687784582787419
0,1e-06,0.0948154181794691
0,0.00461695402521298,0.0744574922896059
0,1e-06,0.0226227882195138
0,1e-06,0.0117118441454033
0.05,0.289125906976124,0.0639099232674309
0.05,1e-06,0.0296446879556236
0.05,1e-06,0.0821654382239877
0.05,1e-06,0.0344186535741428
0.05,1e-06,0.104347049558065
0.05,1e-06,0.11658701512711
0.05,1e-06,0.0379416296620683
0.05,1e-06,0.0943559213282665
0.05,0.0587092140711236,0.0479652969392454
