"lambda.input","lambda.est","kappa","kappa.z","CI.lower","CI.upper"
0,1e-06,0.0138618826248227,-2.1247,0,0.0208708742156498
0,0.0114075584150586,0.0148458024938639,-1.0442,0,0.0778267448657308
0,1e-06,0.0287978053764736,-0.649,0,0.0446305583978664
0,1e-06,0.0260576988162116,1.1009,0,0.117128799611302
0,1e-06,0.0451168536522633,-0.5855,0,0.0321977260000072
0,1e-06,0.0451102123805076,1.6755,0,0.187444816785262
0,1e-06,0.00990012340982721,-0.3791,0,0.0343738355682771
0,0.00291387709153544,0.0230230477573321,-2.3071,0,0.104748020657596
0,0.0164001528962818,0.0314604596459138,1.3662,0,0.0982169976468752
0,1e-06,0.0291243336159744,-1.5621,0,0.0209849668370664
0,0.0100483603863492,0.0155339066278604,-0.5092,0,0.0766769144613852
0,1e-06,0.0317004073741108,0.2931,0,0.0363275923299302
0,1e-06,0.0304439098983881,-0.3777,0,0.0345652506758278
0,0.00572537217007276,0.0358679524599503,1.1466,0,0.0997630829623723
0,0.0191484116452876,0.0275426752404513,0.242,0,0.169491021349358
0,1e-06,0.0260673808818066,-1.2824,0,0.0473669562702668
0,1e-06,0.0130560653582259,-0.8949,0,0.0398937719289647
0,1e-06,0.0429332298318238,1.0111,0,0.0753200084728005
0,1e-06,0.0141659925035222,-2.2608,0,0.0584698624756513
0,1e-06,0.00630015944026647,-1.6068,0,0.0303322688149077
0,1e-06,0.0580994888692541,1.729,0,0.0354381357033302
0,1e-06,0.0420890695470948,-0.6413,0,0.0220575115428052
0,1e-06,0.0446578586349535,-0.1708,0,0.110823205357245
0,1e-06,0.0160959773039753,0.3397,0,0.119546889141124
0,1e-06,0.0289472577905448,-1.0269,0,0.0391925971293149
0,1e-06,0.0174012784102536,-1.9715,0,0.0593704783040615
0,0.0140229520406826,0.0274414800023034,0.568,0,0.12487811969028
0,0.00467378958521412,0.0407208695917331,-0.0485,0,0.115980739995237
0,0.00806252165251485,0.019953627238521,-0.0539,0,0.0632352505649295
0,1e-06,0.0120031142366986,0.3398,0,0.0705533428437539
0,1e-06,0.0294118972971795,-0.7076,0,0.048800880806101
0,1e-06,0.0264168116246055,-0.494,0,0.0355872530873627
0,1e-06,0.0180029025246677,-0.0097,0,0.0907430973682125
0,1e-06,0.0432370453382093,0.9528,0,0.0638062430003251
0,1e-06,0.0248158736015609,0.1128,0,0.166617982608781
0,1e-06,0.0265126639971034,-0.718,0,0.0236237456464365
0,1e-06,0.0277988935802505,-0.0248,0,0.0514243865752532
0,1e-06,0.0055498073211462,-0.6731,0,0.0720931342192979
0,0.00781041347290168,0.0402905589787594,0.5775,0,0.0861907873881936
0,1e-06,0.0257646969236282,-0.2779,0,0.0217210989616885
0,0.0010673150535695,0.0467507086043416,0.0622,0,0.0778544605074354
0,1e-06,0.0441899246919239,0.4521,0,0.0313257230838712
0,1e-06,0.0431803594319708,0.6861,0,0.0338861943851663
0,1e-06,0.0542609593071811,1.4852,0,0.0244065896123655
0,1e-06,0.0312237343351561,-0.0776,0,0.0308617778660736
0,0.00612943556776112,0.0480208361328395,1.3707,0,0.11058407892338
0,1e-06,0.0374040001031313,0.5338,0,0.0528339832618854
0,1e-06,0.0102135253827646,-0.3447,0,0.0790173359334357
0,0.0280838837553408,0.0317414569383057,-1.1691,0,0.127922027073754
0,1e-06,0.0372560144243402,0.7796,0,0.0342004037695465
0.05,0.0583091920677037,0.0290374416127573,1.8099,0.00587695002477549,0.168187076765213
0.05,0.0252290088568893,0.0365365993020389,0.7463,0,0.143011853823338
0.05,1e-06,0.0173093802780133,-1.2892,0,0.0646866810605318
0.05,1e-06,0.0236051388229375,0.0595,0,0.17575032531346
0.05,0.0530160002890354,0.0437553016508162,0.4666,0.00650231544162366,0.148871980718283
0.05,0.0286765185651077,0.0233575754876187,0.244,0,0.131528820130979
0.05,1e-06,0.0138821214403796,-1.4382,0,0.0362003547075036
0.05,0.0252115006736665,0.0361302377885998,1.4715,0,0.121938343314961
