"lambda.input","lambda.est","kappa","kappa.z"
0,1e-06,0.0659902557986538,0.5917
0,0.0316042344711032,0.0905907478085382,-0.632
0,1e-06,0.0205324918065402,-3.547
0,1e-06,0.0945935043036883,-1.0647
0,1e-06,0.107805523659995,-0.8062
0,1e-06,0.0752074236712175,0.2302
0,1e-06,0.1231051299727,-0.0055
0,1e-06,0.131586207445456,-0.3454
0,0.00171856430019294,0.022870781861515,-0.1799
0,1e-06,0.0256938287993779,-0.3295
0,1e-06,0.0463668253245464,0.5476
0,1e-06,0.110158652150233,-1.2709
0,0.0532351869831956,0.128191715554074,1.1362
0,1e-06,0.0304168406186699,0.7273
0,1e-06,0.0392578822746965,-0.1704
0,1e-06,0.0651683097451783,0.6658
0,1e-06,0.11610741062455,0.5981
0,1e-06,0.00657907229976276,-2.9533
0,1e-06,0.0883056618046417,0.5602
0,0.190413359305732,0.0582289460478372,0.8156
0,1e-06,0.0515287818093794,0.6646
0,1e-06,0.10066622496329,-0.3611
0,0.0743992075079217,0.0521842960165277,1.3098
0,0.432230553559824,0.081444049549097,1.2644
0,1e-06,0.0971546110943705,1.7938
0,1e-06,0.0278240954722342,0.3574
0,0.076360032748638,0.0710223362276277,-0.3164
0,1e-06,0.0884213934795689,1.2875
0,1e-06,0.0399424607391898,-0.8791
0,1e-06,0.0115243360131496,-1.1841
0,0.00420312033861788,0.0417889471247588,0.3516
0,1e-06,0.0619751138586829,0.0808
0,1e-06,0.132488761796363,1.3072
0,1e-06,0.095044624881072,-0.6345
0,0.134572231950918,0.101770582306202,0.7306
0,1e-06,0.0405946513711434,-3.0024
0,1e-06,0.0943601928063171,0.007
0,1e-06,0.0787755504323486,-0.0481
0,1e-06,0.117075802207325,0.7938
0,1e-06,0.0571851258947853,-0.3021
0,1e-06,0.0945551913464155,0.375
0,1e-06,0.166076396590584,0.8018
0,1e-06,0.102887630080796,0.8552
0,1e-06,0.120494046998572,0.9123
0,1e-06,0.0623791543594212,0.1455
0,1e-06,0.0705564115011825,-0.5774
