treesize,lambda_input,rand.tree,K,mu,sd
1024,0,1,1.010305558,-0.001307816,0.001349763
1024,0,1,1.001700492,-0.001259593,0.001330306
1024,0,1,0.999943722,-0.001295634,0.001398114
1024,0,1,0.99860449,-0.001266522,0.001356755
1024,0,1,0.999967352,-0.001283035,0.001302855
1024,0,1,0.998114158,-0.001307995,0.001272187
1024,0,1,1.001842638,-0.001305524,0.00134863
1024,0,1,0.997317367,-0.001276034,0.001362488
1024,0,1,1.000751025,-0.001325315,0.001312987
1024,0,1,0.998022961,-0.001373706,0.001336178
1024,0,1,0.996903797,-0.001235109,0.001357534
1024,0,1,1.000275053,-0.001264269,0.001340063
1024,0,1,0.999923077,-0.001243234,0.001307105
1024,0,1,1.005200231,-0.001277184,0.001353101
1024,0,1,0.998565177,-0.00131914,0.001295229
1024,0,1,1.000643535,-0.00131657,0.001334531
1024,0,1,0.997868278,-0.001303162,0.001295382
1024,0,1,0.999939351,-0.001282073,0.001363611
1024,0,1,0.99867076,-0.001347822,0.001307899
1024,0,1,0.999192777,-0.001275348,0.001329373
1024,0,1,0.998696015,-0.001228587,0.001384427
1024,0,1,1.003926694,-0.001270486,0.001332604
1024,0,1,1.001985163,-0.001286319,0.0013679
1024,0,1,0.99769698,-0.001262771,0.001300016
1024,0,1,0.999842887,-0.001238717,0.00128323
1024,0,1,0.999367205,-0.001209466,0.001263138
1024,0,1,1.000532066,-0.001244838,0.001250551
1024,0,1,0.998555069,-0.001141117,0.0012735
1024,0,1,0.997327892,-0.00112653,0.001296144
1024,0,1,1.002725012,-0.001140272,0.001291022
1024,0,1,1.002816479,-0.001224339,0.001330827
1024,0,1,0.997560838,-0.001175794,0.001274231
1024,0,1,0.99924342,-0.001164134,0.001310247
1024,0,1,0.998539967,-0.001177611,0.001267003
1024,0,1,0.999391928,-0.001218519,0.001252245
1024,0,1,0.998865121,-0.001162756,0.001264356
1024,0,1,0.998513788,-0.001175398,0.001313023
1024,0,1,0.997801968,-0.001133936,0.001309223
1024,0,1,0.997919886,-0.001138476,0.001342435
1024,0,1,0.997837176,-0.001121676,0.001330376
1024,0,1,0.997718756,-0.001122763,0.001402497
1024,0,1,1.00278091,-0.001173594,0.001350534
1024,0,1,1.002885722,-0.001137184,0.001286051
1024,0,1,1.000477534,-0.00119384,0.00130269
1024,0,1,0.998066053,-0.001147291,0.001334427
1024,0,1,1.001806139,-0.001137253,0.001321581
1024,0,1,1.000883805,-0.001149774,0.001294618
1024,0,1,0.998526618,-0.001138032,0.001359445
1024,0,1,1.003660553,-0.001131808,0.001309525
1024,0,1,0.997296779,-0.001232064,0.001260573
1024,0,2,0.999224072,-0.001339312,0.001405704
1024,0,2,1.003989126,-0.001447858,0.00131175
1024,0,2,0.997517603,-0.001360759,0.001309962
1024,0,2,1.000653373,-0.001368183,0.001376286
1024,0,2,1.00092455,-0.001401115,0.001342682
1024,0,2,0.999119165,-0.001405838,0.001364334
1024,0,2,0.999585945,-0.00136803,0.001359513
1024,0,2,0.998592404,-0.00140456,0.001380505
1024,0,2,1.000294443,-0.001441413,0.001303932
1024,0,2,0.999767138,-0.001401284,0.001303331
1024,0,2,1.004420517,-0.001412454,0.001320916
1024,0,2,1.000496143,-0.001360015,0.001389277
1024,0,2,1.000480453,-0.001301181,0.001436044
1024,0,2,0.999395722,-0.001429101,0.001311704
1024,0,2,0.996869109,-0.001389072,0.001307985
1024,0,2,0.997037636,-0.001394304,0.001420108
1024,0,2,1.004415776,-0.001400207,0.001302618
1024,0,2,0.999299856,-0.001374111,0.001382405
1024,0,2,1.004646023,-0.001351203,0.001329734
1024,0,2,0.999999073,-0.001376173,0.001308882
1024,0,2,0.999295763,-0.001345308,0.001392804
1024,0,2,1.000127096,-0.0014229,0.001290197
1024,0,2,1.001900612,-0.001361161,0.001352653
1024,0,2,0.999191851,-0.001505598,0.001281096
1024,0,2,0.997645758,-0.001371866,0.001368961
1024,0,2,0.998421562,-0.001583795,0.001459936
1024,0,2,1.001902404,-0.001699198,0.001378951
1024,0,2,0.998742255,-0.001670203,0.001404633
1024,0,2,0.998584229,-0.001651363,0.001407704
1024,0,2,0.999223282,-0.001602714,0.001432801
1024,0,2,1.004417663,-0.001604222,0.001466561
1024,0,2,0.997441281,-0.001614341,0.001443226
1024,0,2,0.998109217,-0.001612559,0.001449054
1024,0,2,1.000068579,-0.00165136,0.001458045
1024,0,2,0.998471033,-0.001669698,0.001431421
1024,0,2,0.999343713,-0.001668753,0.001383655
1024,0,2,0.999844188,-0.001610624,0.001386685
1024,0,2,1.003766892,-0.001578154,0.001408113
1024,0,2,0.998308589,-0.001648607,0.001401936
1024,0,2,0.998478596,-0.001617456,0.001412005
1024,0,2,1.002665168,-0.001627429,0.001404789
1024,0,2,0.998461898,-0.001570943,0.001434827
1024,0,2,1.00193026,-0.00157498,0.001451848
1024,0,2,1.003008089,-0.001494234,0.001432087
1024,0,2,0.998916386,-0.001557619,0.001422278
1024,0,2,0.999172109,-0.001597731,0.00144993
1024,0,2,1.000930286,-0.001650212,0.001397269
1024,0,2,1.001345592,-0.001555676,0.001442992
1024,0,2,1.004847629,-0.001660536,0.001471199
1024,0,2,0.99998665,-0.001570144,0.001452554
1024,0.05,1,0.991338788,-0.016302394,0.003800547
1024,0.05,1,1.003314144,-0.01624907,0.003990023
1024,0.05,1,0.996740211,-0.016291732,0.003748644
1024,0.05,1,0.997383935,-0.016386714,0.003967867
1024,0.05,1,1.002821003,-0.016098874,0.003833789
1024,0.05,1,1.004075299,-0.016482185,0.003785159
1024,0.05,1,1.012378559,-0.016422325,0.003953585
1024,0.05,1,1.004775089,-0.016472139,0.003884977
1024,0.05,1,1.005164562,-0.016434723,0.003864258
1024,0.05,1,0.982336228,-0.016667706,0.003648706
1024,0.05,1,1.010914283,-0.016346397,0.003881512
1024,0.05,1,0.994032024,-0.016531236,0.003791175
1024,0.05,1,0.99822039,-0.016344713,0.003812536
1024,0.05,1,0.996486509,-0.016413029,0.003938526
1024,0.05,1,1.008491378,-0.016419356,0.003896507
1024,0.05,1,0.989991795,-0.01643366,0.003804346
1024,0.05,1,0.98908635,-0.016400575,0.003885618
1024,0.05,1,0.994963189,-0.016532373,0.003694326
1024,0.05,1,1.005947609,-0.016372581,0.00399308
1024,0.05,1,1.005361189,-0.016420101,0.004031762
1024,0.05,1,0.999874559,-0.01632818,0.003984464
1024,0.05,1,0.994095872,-0.016447011,0.003739903
1024,0.05,1,0.995316622,-0.016467875,0.00390395
1024,0.05,1,0.99974898,-0.016335472,0.003812334
1024,0.05,1,0.991916225,-0.016347821,0.00383648
1024,0.05,1,1.000600474,-0.015804865,0.004094721
1024,0.05,1,0.993199874,-0.015887862,0.00379998
1024,0.05,1,0.986679943,-0.015540252,0.003955064
1024,0.05,1,1.013638023,-0.015534763,0.004137089
1024,0.05,1,1.0222985,-0.015696105,0.004039636
1024,0.05,1,1.00737089,-0.015716567,0.003983789
1024,0.05,1,0.999909588,-0.01570314,0.003926277
1024,0.05,1,1.004187316,-0.015776259,0.003998521
1024,0.05,1,1.010650122,-0.015618929,0.004158189
1024,0.05,1,1.001197253,-0.015937766,0.003773822
1024,0.05,1,1.004313519,-0.015607513,0.003953959
1024,0.05,1,1.004744658,-0.015583553,0.003970913
1024,0.05,1,1.017835128,-0.015802524,0.004038131
1024,0.05,1,1.005536443,-0.015703516,0.003913833
1024,0.05,1,1.007070121,-0.015876836,0.004024381
1024,0.05,1,1.007479752,-0.015565974,0.004051867
1024,0.05,1,0.996654671,-0.015514455,0.004313644
1024,0.05,1,0.999822649,-0.015744586,0.003935796
1024,0.05,1,0.992637096,-0.015565123,0.004010333
1024,0.05,1,0.992379636,-0.015520709,0.003924936
1024,0.05,1,1.00304465,-0.015573866,0.003967986
1024,0.05,1,1.001247225,-0.015826877,0.003935842
1024,0.05,1,1.00187588,-0.015682002,0.003876539
1024,0.05,1,0.991836761,-0.015740787,0.004139027
1024,0.05,1,0.985236008,-0.015862956,0.00377489
1024,0.05,2,0.997908889,-0.016922472,0.003779104
1024,0.05,2,0.992792685,-0.017040509,0.003675014
1024,0.05,2,1.002333888,-0.017089371,0.003860959
1024,0.05,2,0.992020798,-0.017006688,0.003842657
1024,0.05,2,0.998698941,-0.016906568,0.00389225
1024,0.05,2,0.991130342,-0.017014272,0.003732309
1024,0.05,2,0.992113093,-0.016937451,0.003835367
1024,0.05,2,0.996412445,-0.016972838,0.003724627
1024,0.05,2,0.990708103,-0.016984562,0.003895277
1024,0.05,2,0.991059708,-0.017025332,0.003737501
1024,0.05,2,1.009594539,-0.016993514,0.00402192
1024,0.05,2,0.999233188,-0.016868275,0.003837288
1024,0.05,2,0.989677583,-0.016856881,0.004031638
1024,0.05,2,1.009562471,-0.016909183,0.003888585
1024,0.05,2,1.004105742,-0.016932222,0.003791663
1024,0.05,2,0.990363039,-0.016945419,0.003856773
1024,0.05,2,1.008547482,-0.01704128,0.003983014
1024,0.05,2,0.994316061,-0.016880712,0.00387045
1024,0.05,2,1.020886209,-0.017118427,0.003830217
1024,0.05,2,1.00262266,-0.01686134,0.003791981
1024,0.05,2,1.015174221,-0.016972993,0.003810756
1024,0.05,2,1.002482591,-0.01687635,0.003861047
1024,0.05,2,1.005474009,-0.01697723,0.003781165
1024,0.05,2,0.991410372,-0.017160267,0.003734637
1024,0.05,2,0.994279903,-0.017127996,0.003712024
1024,0.05,2,1.001854461,-0.018746174,0.00381226
1024,0.05,2,0.996239691,-0.018650456,0.003650703
1024,0.05,2,1.004402087,-0.01879304,0.003664647
1024,0.05,2,1.000357355,-0.018634884,0.003768461
1024,0.05,2,0.993115809,-0.018573744,0.003797196
1024,0.05,2,1.019316057,-0.018482715,0.004079549
1024,0.05,2,0.996775241,-0.018583555,0.003864776
1024,0.05,2,0.999728512,-0.018848175,0.003733278
1024,0.05,2,1.015538172,-0.018569672,0.003985309
1024,0.05,2,0.996940619,-0.018850541,0.003707245
1024,0.05,2,1.001340507,-0.018657424,0.003860976
1024,0.05,2,0.992345898,-0.01873983,0.003785228
1024,0.05,2,0.996297633,-0.018726272,0.003811253
1024,0.05,2,0.988382433,-0.018905867,0.003953811
1024,0.05,2,1.032601046,-0.018746221,0.004088977
1024,0.05,2,0.989026365,-0.018670233,0.003668564
1024,0.05,2,1.010267047,-0.018528626,0.003938327
1024,0.05,2,0.991480694,-0.018963252,0.003893327
1024,0.05,2,1.000755369,-0.018772189,0.003762531
1024,0.05,2,1.003808422,-0.018510983,0.003758279
1024,0.05,2,1.004664176,-0.018721569,0.003847401
1024,0.05,2,0.992868,-0.018780193,0.003717415
1024,0.05,2,1.011035633,-0.018761133,0.003713248
1024,0.05,2,1.003177726,-0.018733221,0.003835007
1024,0.05,2,0.987374631,-0.018683945,0.003911029
1024,0.1,1,1.017808295,-0.045708671,0.006398093
1024,0.1,1,1.028829142,-0.045501437,0.006511273
1024,0.1,1,0.995447803,-0.046066336,0.005937117
1024,0.1,1,1.000507751,-0.04560593,0.006163677
1024,0.1,1,0.993073549,-0.045642733,0.006162356
1024,0.1,1,1.034503002,-0.045750809,0.006789722
1024,0.1,1,0.97689455,-0.045525064,0.005960559
1024,0.1,1,0.98228529,-0.045854392,0.0060268
1024,0.1,1,0.994867458,-0.04574809,0.005933097
1024,0.1,1,0.985115171,-0.046131124,0.006056307
1024,0.1,1,1.012786664,-0.045351057,0.006616294
1024,0.1,1,0.979622066,-0.04573808,0.0060898
1024,0.1,1,0.983190948,-0.045821639,0.006162983
1024,0.1,1,0.996921539,-0.045544812,0.006189726
1024,0.1,1,0.977874523,-0.045821053,0.00628697
1024,0.1,1,0.989345036,-0.04550793,0.006216566
1024,0.1,1,0.98232165,-0.04586337,0.005902539
1024,0.1,1,1.002788718,-0.04549244,0.006163092
1024,0.1,1,0.988138517,-0.045720371,0.006105471
1024,0.1,1,0.99281769,-0.046078158,0.006027781
1024,0.1,1,1.026995711,-0.045223738,0.006604471
1024,0.1,1,0.998733219,-0.04558714,0.006239007
1024,0.1,1,0.984011633,-0.045873928,0.006036369
1024,0.1,1,0.993318895,-0.045853754,0.006100182
1024,0.1,1,1.014058813,-0.045475372,0.00641788
1024,0.1,1,0.993848716,-0.044085115,0.006229903
1024,0.1,1,1.005981513,-0.043846039,0.006179395
1024,0.1,1,1.001173632,-0.04402906,0.006471781
1024,0.1,1,1.005703445,-0.043913912,0.00668027
1024,0.1,1,0.981110174,-0.043570208,0.006290382
1024,0.1,1,1.027776949,-0.044079661,0.006645636
1024,0.1,1,0.982736007,-0.043737497,0.006189302
1024,0.1,1,0.986361944,-0.044078456,0.006006927
1024,0.1,1,1.010396177,-0.04405068,0.006388635
1024,0.1,1,0.975031038,-0.043829223,0.006259903
1024,0.1,1,1.000112726,-0.044107771,0.006186623
1024,0.1,1,0.986034255,-0.044044549,0.006057347
1024,0.1,1,0.992315872,-0.043846567,0.006108992
1024,0.1,1,0.991365306,-0.04400259,0.006505317
1024,0.1,1,0.978005744,-0.043812582,0.006206151
1024,0.1,1,1.000765166,-0.04369667,0.0064546
1024,0.1,1,1.007739702,-0.044053895,0.00613244
1024,0.1,1,0.99817038,-0.044372449,0.00603537
1024,0.1,1,0.98599863,-0.044296212,0.006170038
1024,0.1,1,1.040918405,-0.043978705,0.00685835
1024,0.1,1,1.029802084,-0.044123144,0.006684911
1024,0.1,1,0.97500058,-0.043562868,0.006407721
1024,0.1,1,0.98686577,-0.04373834,0.006219419
1024,0.1,1,1.007119683,-0.043720605,0.006283313
1024,0.1,1,0.968155796,-0.043865298,0.006128339
1024,0.1,2,0.983754937,-0.046429816,0.006012806
1024,0.1,2,1.003558736,-0.046167287,0.00598701
1024,0.1,2,0.989940376,-0.046429195,0.005968396
1024,0.1,2,1.000735192,-0.046180903,0.006153183
1024,0.1,2,1.000796301,-0.046540296,0.006064844
1024,0.1,2,1.006143149,-0.046468742,0.006152233
1024,0.1,2,0.986431557,-0.04644744,0.006101027
1024,0.1,2,0.979484395,-0.046264198,0.005689936
1024,0.1,2,0.973944293,-0.046345633,0.005643217
1024,0.1,2,0.988167937,-0.046342631,0.006190034
1024,0.1,2,1.052105247,-0.04610477,0.00663587
1024,0.1,2,0.993363505,-0.046252913,0.005927349
1024,0.1,2,0.981258977,-0.046247226,0.005841582
1024,0.1,2,0.982037748,-0.046129156,0.005984808
1024,0.1,2,0.991826828,-0.046476426,0.005979173
1024,0.1,2,1.005420382,-0.046470267,0.005976803
1024,0.1,2,1.021964033,-0.046139626,0.006389174
1024,0.1,2,1.013692299,-0.046423264,0.006206636
1024,0.1,2,0.972493349,-0.046369313,0.005830707
