"lambda.in","beta.in","coef.(Intercept)","aic","log.lik","Pval.","lambda.opt.lambda","lambda.ci.val1","lambda.ci.val2","lambda.z","phy.signal","kappa.z"
0,1,1.04740208036115,1401.16201408819,-699.581007044097,0,0.0142223161094343,NA,0.10191106068984,0.45211578731878,0.00509115603365211,-0.662441705300704
0.05,1,0.933292613337129,1432.11735544807,-715.058677724035,0,0.00831640010003984,NA,0.0807365751595459,0.213840021849824,0.00528073963301952,0.0506360574609123
0.1,1,0.710631642542369,1439.58421911854,-718.792109559271,0.00404141062205476,0.159042296986738,0.0488570941432029,0.347073032921333,4.85011123635977,0.00622232944110611,3.3125412904181
0.15,1,0.986094969989248,1379.80546326419,-688.902731632096,1.07199116956558e-05,0.14655949693183,0.0317301419780478,0.365249008685588,4.12498736233114,0.00571850411038853,1.56554639147555
0.2,1,0.852317362525184,1323.52665111903,-660.763325559517,1.82309898022481e-06,0.106138545186907,0.0366073846720796,0.277063851015014,5.72107958564719,0.00646822841103204,4.3539026439373
0.25,1,1.05600201594085,1315.22080312482,-656.61040156241,0.000681723263366019,0.283040643601921,0.130104544661243,0.509059175744082,8.66222460571624,0.00672357403060736,4.65183504134043
0.3,1,0.908139173580299,1256.8260119376,-627.413005968799,3.88854686250717e-06,0.143684844359133,0.0109308742061578,0.408532393289433,1.34356645175353,0.00633044943482592,3.69957874394482
0.35,1,1.01557441023007,1227.31315046571,-612.656575232854,1.09639129965977e-05,0.20060235926666,0.0613931513743719,0.463886294262067,7.62464145435463,0.00614189637072813,3.11261480048586
0.4,1,0.404186185062027,1184.87267650564,-591.436338252822,0.199382847956972,0.348990310382734,0.204717953021048,0.545193101291439,16.159037890292,0.00945441445993526,10.8269603273522
0.45,1,1.26440409183625,1160.83177507507,-579.415887537537,0.00080690919483617,0.449884920571845,0.275298272361176,0.633244139170324,8.84801584674351,0.00675125422381489,5.08740794495769
0.5,1,0.760733352362571,1090.39589312696,-544.197946563482,0.109700273911679,0.610584096458652,0.422188830813694,0.76568776314002,12.3801564524493,0.00815333305100125,8.56344091458967
0.55,1,0.774820225908409,1068.12708159717,-533.063540798585,0.0955953348632155,0.610031549985922,0.415818727719632,0.767998086539732,9.84575049035847,0.00764006657257095,7.31471376682251
0.6,1,0.147610597309838,990.289189069273,-494.144594534636,0.612541738069467,0.405082205483915,0.203697248569593,0.637903697729128,10.6389133528605,0.00749900838347851,7.0458341025517
0.65,1,1.23514783187233,990.436305710335,-494.218152855167,0.0088163314654004,0.654354036296078,0.485032557230848,0.788885228283612,24.1885188236703,0.0196817781734107,19.95924187769
0.7,1,1.45976834767102,974.309614324992,-486.154807162496,0.0035089984785468,0.689634468180986,0.523954079536467,0.813360233465116,22.4126301636079,0.0165775247676068,18.3137303016102
0.75,1,0.777005483065956,815.435904832977,-406.717952416488,0.131824832455967,0.771153138240096,0.653296888061715,0.858511748917903,19.910962800674,0.0141723644909837,17.2433263241224
0.8,1,0.13600112509388,754.875452948708,-376.437726474354,0.800956846236415,0.810152482576356,0.709742814637832,0.880909183591955,27.2212888865793,0.0279736834039377,23.0661651629711
0.85,1,0.617082440668588,568.816232015738,-283.408116007869,0.153203440143687,0.795448236695259,0.690639919672569,0.870466585394866,20.861733022111,0.0146972320100327,17.2676997073828
