"lambda.in","beta.in","coef..Intercept.","coef.x","aic","log.lik","Pval..Intercept.","Pval.x","lambda.opt.lambda","lambda.ci.val1","lambda.ci.val2","lambda.z","phy.signal","kappa.z"
0,0,0.968839402147437,0.0407265041708729,2953.19739415826,-1474.59869707913,0,0.524449396907601,0.00787177893026002,NA,0.0480396395468104,0.0933713546132264,0.0203972339679838,-0.315705800281248
0,0.25,1.00704517556611,0.190218196184166,2978.32631109031,-1487.16315554515,0,0.00338451755495095,0.0393431131067726,0.00870706589790912,0.0989366579292213,1.11054816618978,0.0182462460834194,-0.746497943840038
0,0.5,1.02307558506721,0.454997857866588,2953.12920234446,-1474.56460117223,0,2.01438865587988e-12,1e-06,NA,0.0232350218787445,1.70997820635234e-05,0.0231504276500288,0.242536899279084
0,0.75,0.974143380246096,0.721423475679078,2906.39375251158,-1451.19687625579,0,0,1e-06,NA,0.0191668052721603,1.58866226663186e-05,0.0212396158533094,-0.144971461129173
0,1,1.01728035676146,0.962123231345866,2894.58315083442,-1445.29157541721,0,0,1e-06,NA,0.0492084050836074,4.26496119976004e-06,0.0140343178132049,-1.9272063969532
0.05,0,0.862209950554705,0.0539043281149842,2894.25080065713,-1445.12540032856,0,0.384055155136219,0.0813177658181447,0.0185608697926633,0.177842030890919,1.75098514608515,0.00266900964712559,-0.191871915333422
0.05,0.25,1.03624462886512,0.224546999006649,2892.87408866399,-1444.43704433199,0,0.000309808508077491,1e-06,NA,0.015265267203041,1.49577971852857e-05,0.0203819899827961,1.51843793811322
0.05,0.5,0.963202874360338,0.597319472388278,2877.93074076307,-1436.96537038154,0,0,0.0393401858082674,NA,0.117221497981646,0.624067946037913,0.0159636360094411,1.30459975746483
0.05,0.75,1.01885397970095,0.612779013967739,2898.0400090538,-1447.0200045269,0,0,0.0444583701627026,0.0107910889105904,0.109065932380645,1.38754027934312,0.0224152612060534,1.55133192076582
0.05,1,0.864439805799464,0.995171246278218,2943.73610799985,-1469.86805399993,0,0,0.0193825748467763,NA,0.104975061146958,0.242085838460333,0.0192675907608311,1.54641764508278
0.1,0,1.1481414055333,-0.0873101749074778,2879.8789243078,-1437.9394621539,0,0.156192988321848,0.110814494940378,0.0476497882565952,0.204001790050822,3.78636209967941,0.0435082858347348,1.09939811322921
0.1,0.25,1.07404291686565,0.137856110013644,2863.14898073896,-1429.57449036948,0,0.0240904034467455,0.111868779613745,0.0627602583337424,0.184448529679667,6.33527977415164,0.0384438084874762,0.906636501487654
0.1,0.5,0.905294915795167,0.635426501264952,2883.80705718132,-1439.90352859066,8.88178419700125e-16,0,0.124987757510055,0.0514973732132902,0.226587830059909,3.29293427346146,0.0476179395487449,1.27069877286629
