"lambda.in","beta.in","coef.(Intercept)","coef.x","aic","log.lik","Pval.(Intercept)","Pval.x","lambda.opt.lambda","lambda.ci.val1","lambda.ci.val2","lambda.z","phy.signal","kappa.z"
0,0,1.18039553650194,0.0210066718253068,735.367205615981,-365.68360280799,0,0.86843777190892,1e-06,NA,0.153449808593537,7.3871294902943e-06,0.048468417969801,0.7114017206356
0,0.25,0.957211051807292,0.211097071017924,716.345076084936,-356.172538042468,8.6941565058396e-12,0.0816140337418414,0.0736338869387819,0.0128266599948521,0.219267078606445,1.60312816154107,0.0413510195980636,0.237316791581299
0,0.5,1.09826550593077,0.447130461832055,713.365498911374,-354.682749455687,0,0.000280288083734259,1e-06,NA,0.0934201314930886,7.47889859264284e-06,0.0451039447067952,0.487254391926146
0,0.75,1.1775605007451,0.500957934097943,743.168327675082,-369.584163837541,0,0.00011470915343037,0.0381575891966062,NA,0.199248867617761,0.331319804030509,0.0340413343501091,-0.498786293398089
0,1,0.979098664645376,1.01842550391856,708.716665013303,-352.358332506652,0,1.99840144432528e-15,1e-06,NA,0.0584552002366796,9.33188714541479e-06,0.0529882487915027,1.03124457797179
0.05,0,0.805151163119845,0.220750316106049,711.554868943208,-353.777434471604,3.73434616562918e-12,0.067706445599969,0.0307730467992545,NA,0.19260241809338,0.11373660709189,0.0193574353650779,-1.88956162406208
0.05,0.25,0.918377884728073,0.243903119070655,719.859874072461,-357.929937036231,6.67272903598359e-11,0.046141912151918,0.0673615934437336,NA,0.236071743558054,0.887687284798139,0.0269127403028855,-0.947339752911571
0.05,0.5,1.15230384021745,0.474120777292129,733.759776516488,-364.879888258244,3.73525654850937e-11,0.000171746192350497,0.121560258739461,0.00219207990430463,0.36658660155831,1.32103978645828,0.043259220579746,0.488044504547423
0.05,0.75,0.98924407527486,0.591897689067005,715.05920970081,-355.529604850405,1.45206486223959e-05,9.8688390748336e-07,0.273113177272072,NA,0.534503016600397,1.21645950566664,0.0653863023991869,1.62524176512927
0.05,1,1.15628787870551,0.915190863293869,730.821681063191,-363.410840531596,6.66133814775094e-16,2.63677968348475e-12,0.0612682373467236,NA,0.367092126606041,0.277721112970846,0.0443982664952879,0.538781030302229
0.1,0,0.917136551737071,0.18050287917299,732.291180544291,-364.145590272145,0,0.152990837260194,1e-06,NA,0.0833396045257232,8.20381666855109e-06,0.0108286421479147,-0.642831268297832
0.1,0.25,0.865160201111626,0.178668260789377,678.628225277076,-337.314112638538,0,0.116375475222726,1e-06,NA,0.268981328217871,2.33601545599287e-06,0.0171917863024818,-0.0125114643547084
0.1,0.5,1.09173916914235,0.513341321571658,730.634279601519,-363.31713980076,7.32747196252603e-15,4.87630945706918e-05,0.0689331588856001,NA,0.251269518848302,0.5738962520368,0.00931361448985657,-0.849497272001917
0.1,0.75,0.671508519587491,0.9139957858242,722.288568645955,-359.144284322978,1.79550152523689e-10,1.70663483345379e-12,0.0177626068105141,NA,0.155095563562485,0.111387274818844,0.00569796855361771,-1.47497844470824
0.1,1,0.936151226855627,1.10741905154198,675.388497719001,-335.694248859501,2.35367281220533e-14,0,0.0626686341171298,NA,0.245493182982335,0.694301720808052,0.00342375492998823,-2.17710752046889
0.15,0,1.07338268549538,0.103544325649887,695.823129078403,-345.911564539201,0,0.375730966287253,0.0401584658981162,NA,0.199002040372256,0.571825800315273,0.0895477443941172,1.26616104202906
0.15,0.25,1.25107894400569,0.177693261888207,688.774827763924,-342.387413881962,0,0.122798320812065,0.0642523707448434,NA,0.250900100403129,0.769128618465202,0.086353193935728,1.17190056631111
0.15,0.5,1.15760447961166,0.383216542957455,689.078996193842,-342.539498096921,0,0.00105785365244682,0.00425965973076798,NA,0.148046393062559,0.00998334307790817,0.0963092756862571,1.53658848563383
0.15,0.75,1.28357573129491,0.551091152501875,739.004348785489,-367.502174392745,0,2.24857868620365e-05,1e-06,NA,0.208513820402768,3.48776312788195e-06,0.060310758461131,-0.0107691203849434
0.15,1,1.00774457238337,1.06565968028037,743.940456282255,-369.970228141127,2.8466118351389e-12,4.44089209850063e-15,0.083882221810601,0.000720055781874712,0.2435865335319,0.977679806657119,0.0717200536707294,0.547837439605937
0.2,0,1.08755473201697,-0.0705119851589694,695.109229706004,-345.554614853002,4.08759692760441e-11,0.537576448221367,0.173547133297501,0.0451152364844286,0.376114234509604,2.5669920337895,0.0703410251162452,1.24890240466342
0.2,0.25,0.792251464023927,0.399183828905244,712.354031538687,-354.177015769343,6.30452858629837e-06,0.000809882643384219,0.198802940479611,0.0381540526478032,0.404546911559171,1.77690229801211,0.0288210825236077,-0.572332463816878
0.2,0.5,0.77129103383988,0.607546344833682,695.540009016206,-345.770004508103,0.00151093446600203,8.93930476308924e-08,0.42849909655668,0.207081520467626,0.626275848382491,3.64957582290175,0.0294944572427055,-0.467724128979165
0.2,0.75,0.976373525504564,0.909731306310248,749.694638181001,-372.847319090501,5.36864146472027e-07,6.99440505513849e-12,0.212529027224258,0.0656809511263098,0.424104566163758,2.98128753815299,0.0575885210906514,0.879743508061848
0.2,1,0.83580903800037,0.990291333673388,692.806153634687,-344.403076817343,2.99626989885837e-11,8.88178419700125e-16,0.0736222408394863,NA,0.288465351528361,0.555813471672199,0.0280120979361559,-0.655131955262505
0.25,0,1.29711141049386,0.0339014041986444,721.904288427504,-358.952144213752,2.35337910492461e-07,0.778482249387478,0.218208959797924,0.000665963261281934,0.494113123296791,1.43598976384389,0.0764821652374011,2.35767363541313
0.25,0.25,1.23492317761893,0.201442703390385,650.452610538794,-323.226305269397,3.85025344940004e-13,0.0578648722138442,0.117249010250527,NA,0.418437420933899,0.320832933938489,0.0326114547457502,-1.32600845472618
0.25,0.5,1.35784278936397,0.425690289405579,693.666999458633,-344.833499729317,2.74342326633814e-10,0.000245081842545902,0.171978220522871,0.0345314843702808,0.372655622062422,1.88744320942285,0.0318379720553657,-1.40892426252545
0.25,0.75,1.30560041017227,0.74797251952073,715.158901006805,-355.579450503402,7.79186239530105e-07,1.20702292605301e-09,0.249480587709507,0.100856811071699,0.467904121320056,5.31462384681705,0.0699003971784893,1.89422548859815
0.25,1,1.05032443765489,0.981456935890098,672.532651575577,-334.266325787788,0,2.22044604925031e-16,0.0105564085392722,NA,0.203320033301636,0.0631194085623679,0.0548168022609538,0.961599526642855
0.3,0,0.96129778257274,0.120622733313344,696.470013751788,-346.235006875894,0.0007704562984574,0.278454883736074,0.449209365679272,0.241804741788562,0.653775144207488,5.76419382010607,0.0889325277280405,2.21951136073913
0.3,0.25,0.523349498732502,0.385817042956235,715.502181235905,-355.751090617953,0.000708602136414882,0.00146275224673831,0.114394553445848,0.00630530385332031,0.31723418343492,1.38576976660004,0.0442744002468146,-0.000858931964495953
0.3,0.5,0.830993173525942,0.641684092321612,663.295806079027,-329.647903039513,0.000329297340054158,4.21808277195623e-09,0.352242341321502,0.184330324714023,0.540416627337427,5.89732229930581,0.0439311931935914,-0.0259818073062869
0.3,0.75,1.03916898152239,0.755145066271039,688.402219561902,-342.201109780951,2.34222433359577e-05,6.47495390637687e-11,0.355930054210635,0.194928271647168,0.536859255664677,5.54621318666682,0.0611613659954508,1.08041652345477
0.3,1,1.08079278292948,0.955624342991991,689.034056510211,-342.517028255105,1.38212473466126e-07,1.33226762955019e-15,0.246788629905588,0.0790279398621627,0.499114831108187,4.05585330202065,0.0960679334903599,2.64607215274727
0.35,0,1.03436769877008,-0.0131494932181241,659.935548504707,-327.967774252353,1.25855035721933e-05,0.897437360740147,0.464892880632958,0.283728473026481,0.644730844566729,6.63666794033001,0.0995090341708433,1.65873002448325
0.35,0.25,0.873370046381655,0.210358576362974,673.219496045351,-334.609748022675,2.70488709466221e-05,0.0493183946446647,0.354999075485054,0.193125766759726,0.540857738726656,6.43512642108381,0.0957906548785119,1.58849088856943
0.35,0.5,1.05192737429868,0.53647782052131,658.951873611783,-327.475936805891,2.49348844683084e-07,4.53860447446885e-07,0.354103882018027,0.192975433400127,0.54336421083952,6.74425189917006,0.0860530874794905,1.22434081599734
0.35,0.75,1.06419577391406,0.97535462715359,703.322886853578,-349.661443426789,2.58859600421601e-12,3.99680288865056e-15,0.136352755184135,0.0331098057808622,0.320428156970548,2.21114210248247,0.0546268875091034,-0.137666951947586
0.35,1,0.768338385499004,0.809877795435377,678.334658139126,-337.167329069563,0.0007581203609206,5.59108315201229e-13,0.416713510227267,0.236536920421053,0.606417747252222,5.81029749230378,0.0698287953943445,0.542272875901648
0.4,0,0.871409882493078,0.017209127415916,679.312905407318,-337.656452703659,0.000138213879342874,0.873517923426999,0.457400965313059,0.292743282758458,0.620770210911927,7.1026259070634,0.0982290990271203,2.12953449194934
