"","lambda_input","K","mu","sd"
"1",0,1.00085567034622,2.33785328606923e-20,0.00234851844653536
"2",0,1.00219344989986,3.18259924436595e-20,0.00240831231120388
"3",0,1.01169069219085,2.80960828604251e-20,0.0023703314634126
"4",0,1.00348077330769,2.58617158246867e-20,0.00228256034933351
"5",0,1.00499286249671,3.60649158886344e-20,0.00241228682340394
"6",0,0.998093531143122,7.09792433975422e-20,0.00231086958697991
"7",0,0.998335765823737,-6.41212411400978e-20,0.00237851813872926
"8",0,1.00295215271468,-4.31171930934655e-20,0.00240690805321196
"9",0,0.999077226863198,6.24383984321403e-20,0.00237617822144633
"10",0,1.00120668934838,0,0.00230864529916385
"11",0,0.999783521465841,-5.66010708761373e-20,0.00224393051639316
"12",0,1.00100948913856,1.77093413447193e-20,0.00233503082586377
"13",0,0.998427798491885,5.88986477455646e-20,0.00232435723600919
"14",0,0.997586755487697,1.84551538547767e-20,0.00234444256179856
"15",0,0.99712986117073,-2.58648921982389e-20,0.00235160406881408
"16",0,0.996508218494547,7.19351200785187e-20,0.00241577397512312
"17",0,0.995768800087224,-7.34330978457379e-20,0.00252847945036342
"18",0,1.00280916112238,-2.74057510084129e-21,0.00244898955988006
"19",0,1.00341941839092,1.06704128497413e-19,0.00229407487190642
"20",0,0.999600666189142,-5.85904336318824e-20,0.00222539885018111
"21",0,1.00016521272786,5.02737876997069e-20,0.00242595077871361
"22",0,1.00050357439621,-1.20868226676289e-20,0.00242787238259414
"23",0,1.00020796924927,2.27826451822989e-20,0.00234114965553748
"24",0,0.998556610814587,5.9846689371779e-20,0.00220857832345422
"25",0,0.999339840299602,-6.90492788272233e-20,0.00238508310465831
"26",0,1.00034444746724,-2.53432257818487e-20,0.0023702073490341
"27",0,0.998933651286333,2.84060969191202e-20,0.00246284831370926
"28",0,1.00201795292089,-6.24949378813695e-20,0.00233980216924058
"29",0,1.0030068021126,0,0.00231100745671516
"30",0,0.999912567140718,-4.29720989965788e-20,0.00231107701606113
"31",0,1.00021576362592,-2.67158426728743e-20,0.00239109208368273
"32",0,0.998697261956586,4.05491612509579e-20,0.002280631164255
"33",0,0.999905295533854,-2.43408019934426e-20,0.00233863660158893
"34",0,1.00055456420225,7.08869168062915e-20,0.00234525979030854
"35",0,1.00499032567672,2.51516904566508e-20,0.00227346078035957
"36",0,0.997997719895542,2.76528728707743e-20,0.00236869639608235
"37",0,0.99699235554163,6.38980479584963e-21,0.00223090871142521
"38",0,0.997830194288362,4.40219169253617e-20,0.00229842940900952
"39",0,0.997525772292684,8.81697770620683e-21,0.00240143599051019
"40",0,1.00445822071358,3.98931342333094e-20,0.00234936314728449
"41",0,0.99666646024491,-5.63898420349158e-20,0.00243244075026622
"42",0,0.998732761745665,-4.67625714355418e-20,0.00242030108706599
"43",0,0.998927577857912,2.67664528914727e-20,0.0023219076511922
"44",0,0.996929622743593,-1.4148361894903e-20,0.00241915221305839
"45",0,0.998623765733785,-2.95584852438597e-20,0.00244058423651338
"46",0,1.00016625124796,-2.27959859512182e-20,0.00235944070328485
"47",0,1.00256977800702,-2.46080011836319e-20,0.00224879878627568
"48",0,1.00087795173833,-5.16644569804208e-20,0.00226076811101994
"49",0,0.999915282620313,6.24044112351317e-20,0.0023185462601817
"50",0,1.00217560636858,3.58038709222025e-20,0.00248808979701834
"51",0.05,1.0041408729976,-1.48644117847763e-19,0.0105862199694045
"52",0.05,0.989046327767888,3.77403999978626e-20,0.0101386700234022
"53",0.05,0.983544793959452,-5.28217369204307e-19,0.0102713505552135
"54",0.05,0.984951468344056,-2.55858160179423e-19,0.0111457766793182
"55",0.05,1.00778117835509,1.79280452517003e-19,0.0101565179615948
"56",0.05,1.01255516139165,-5.81414426423666e-19,0.0104220982928067
"57",0.05,1.0337530418456,6.50521303491303e-19,0.0100203640107173
"58",0.05,1.00860425607548,-1.14394340625535e-19,0.0106071279968409
"59",0.05,0.999229895491183,3.74876453664019e-19,0.0104774700472169
"60",0.05,1.0343248134312,-6.44397255282654e-19,0.0103746299577489
"61",0.05,0.992314663986317,-4.1629337369966e-19,0.00994479726093814
"62",0.05,0.996375529096525,1.94824354132067e-19,0.0104111957195392
"63",0.05,0.992954915304934,4.87118907087055e-19,0.0101325147176126
"64",0.05,0.999171927516717,3.52221710456756e-20,0.0104019568599353
"65",0.05,0.984882044557337,4.20028815466831e-19,0.0108477903515585
"66",0.05,0.985727281231004,-2.79088038757872e-19,0.0101664959124582
"67",0.05,0.999042905298393,-1.99889611156648e-19,0.00991900771839697
"68",0.05,0.99859764034597,4.26204956201735e-19,0.0105458282009777
"69",0.05,1.00011557711953,4.23338596708227e-20,0.0108106361611014
"70",0.05,1.01524619032606,3.8296815940914e-19,0.0102660766718041
"71",0.05,1.00807566399439,-1.80185083704671e-19,0.0100216009529133
"72",0.05,0.992762686727177,8.5296217788508e-21,0.0103658239376575
"73",0.05,0.985113078695972,-1.53136780599999e-19,0.0102158650872794
"74",0.05,0.997705009764536,6.72154524964177e-20,0.0100827055767727
"75",0.05,1.01197656658313,4.16663977083863e-19,0.0103938086570405
"76",0.05,1.04299517630121,2.3047004165137e-19,0.0103337995202529
"77",0.05,1.00504285130916,-3.76637064584446e-19,0.00992522533186001
"78",0.05,0.996975366765277,3.49765314909718e-20,0.010746246699546
"79",0.05,0.985885351759006,-5.74764794271246e-21,0.0101972069040482
"80",0.05,1.01966162689642,1.05398003692747e-19,0.0099857809222451
"81",0.05,0.993219595014395,-4.15144823492962e-19,0.00960229614401155
"82",0.05,0.994716922422953,5.17608281539947e-19,0.0104802402511004
"83",0.05,1.01148742938399,-4.42035790227681e-19,0.0101669086349041
"84",0.05,0.991964217433565,3.46507626194578e-19,0.00988144837338802
"85",0.05,0.993946225209916,1.6728530131358e-20,0.010095285959937
"86",0.05,1.00508689812608,-2.09772791585211e-19,0.00989205842639478
"87",0.05,1.03914073047848,6.1974224377045e-20,0.0105316425174653
"88",0.05,0.984542491619462,3.2838953851325e-19,0.00978784596701703
"89",0.05,1.01628060283254,2.06701450118467e-20,0.0103610942825151
"90",0.05,0.995676930416309,2.49619762522895e-19,0.00981202907056547
"91",0.05,1.00639461133858,-7.01360220985506e-20,0.0104019632244215
"92",0.05,1.00424658633903,-3.45476363581296e-19,0.0104033581826081
"93",0.05,0.987490918030009,-2.70319553687896e-19,0.0107378854367853
"94",0.05,1.02454978655879,3.07268824913023e-19,0.0101177797949638
"95",0.05,0.998456896457007,1.72909917720704e-19,0.0107639207225731
"96",0.05,1.0028775911815,7.06086664831185e-20,0.0104722760402863
"97",0.05,1.01085610031892,3.45409871494937e-19,0.0103793335137711
"98",0.05,0.984285294217319,4.38370043390202e-19,0.010562031293628
"99",0.05,0.990727665955822,-3.50434470938049e-20,0.0102199219770184
"100",0.05,0.982096524653043,-3.54839042263772e-19,0.0100924478141591
"101",0.1,1.03708010344836,1.02074924034079e-18,0.0178636305749409
"102",0.1,0.964134639295015,8.03464960579328e-19,0.0185697134605998
"103",0.1,1.03293208211219,-1.42261216370433e-18,0.0176715527474642
"104",0.1,0.96985609714117,3.26754817864608e-19,0.0183825467834292
"105",0.1,1.00471688573079,1.81039739948451e-19,0.0179595955973851
"106",0.1,0.980991460500437,-8.81727416773837e-19,0.019381602493506
"107",0.1,0.96236832943221,1.3503738058307e-19,0.0188870907368047
"108",0.1,1.04574455489491,-8.4511102949698e-19,0.0186044695637655
"109",0.1,0.97529013598937,-6.1938267828434e-19,0.0184669530099836
"110",0.1,1.03140700197611,1.40648126825682e-19,0.0182344710258291
"111",0.1,0.992829589614055,-7.1498749879917e-19,0.0185626033566498
"112",0.1,0.992955927302226,1.72406780150035e-19,0.0179551732589849
"113",0.1,0.992883395062088,7.23603306180404e-19,0.0176447070299989
"114",0.1,0.980266271175646,-1.3904452404994e-18,0.0179756919172853
"115",0.1,0.992677800251775,4.90378713384563e-19,0.0174139074273232
"116",0.1,1.00916880833495,1.54647887377901e-19,0.0177897751249114
"117",0.1,0.982894684399947,6.93022875685682e-19,0.0185147213427824
"118",0.1,0.973280114678411,5.80969734126358e-19,0.0190514300614133
"119",0.1,0.989806985227314,1.02064082012354e-19,0.0184423055795471
"120",0.1,0.99277410902494,-1.3814378921383e-18,0.0179964837092647
"121",0.1,0.964676867459523,5.81606702902693e-19,0.0181473207700978
"122",0.1,0.972326901956208,8.42608788291673e-20,0.0186618878449321
"123",0.1,1.0030184335151,9.14530461722154e-19,0.0193135322454959
"124",0.1,1.02723281186889,5.43532571923612e-19,0.0179724134107904
"125",0.1,0.98844025445235,-7.47631936828114e-19,0.0188032946223273
"126",0.1,1.00061224005961,7.93239578840074e-19,0.0188855562182844
"127",0.1,0.993913184696811,-3.15444598678158e-20,0.0181227785893339
"128",0.1,1.00609265678242,1.52745260795955e-18,0.018938971066923
"129",0.1,1.00462611734864,3.04660810468427e-20,0.0183390877127282
"130",0.1,1.07662344171003,-1.1189389936524e-19,0.0182203178122515
"131",0.1,0.978237421338867,-6.7071626301974e-19,0.0179454091322619
"132",0.1,0.989713054501444,-4.44583453574785e-19,0.0183195973190376
"133",0.1,0.986071115238767,-3.77088903722247e-19,0.0178837982978313
"134",0.1,0.97903843911626,9.64688576485001e-19,0.0178130652551993
"135",0.1,0.983591802347665,-1.15496330489913e-18,0.0187325386677429
"136",0.1,0.994524343066254,-3.05927971757519e-19,0.0184383897345757
"137",0.1,0.996773371675007,-7.50157789076826e-19,0.0190783642586738
"138",0.1,1.00179865824472,7.39465268667161e-19,0.0185445478033555
"139",0.1,1.02661626768007,1.32191349880295e-19,0.018724646150619
"140",0.1,1.02123484508017,-6.76254164428888e-20,0.017944057078553
"141",0.1,1.01192925326297,9.41461874280104e-19,0.017929385290179
"142",0.1,1.02413430656028,-4.48554767547987e-19,0.0184452977974993
"143",0.1,0.996531350766102,1.17906986257799e-18,0.0184372701171952
"144",0.1,1.04873765781584,6.70821718621673e-19,0.018192831723612
"145",0.1,1.04780045086617,-1.12398561595214e-18,0.0190449059662437
"146",0.1,1.02897313905784,1.0178962216162e-18,0.0188721301356395
"147",0.1,1.06568899898348,5.87434289579802e-19,0.0185929907523924
"148",0.1,1.00075987503845,-2.0577818420596e-19,0.0183764117077182
"149",0.1,0.969499956386954,-1.13754703695416e-18,0.0186294938610062
"150",0.1,0.988298941959795,3.37690013213661e-19,0.0183765286319325
"151",0.15,1.00050935385371,-2.61636957758771e-18,0.0266072005516062
"152",0.15,0.982557678814912,-1.96938548368414e-19,0.026269779239543
"153",0.15,0.959908463575554,-6.34454782547783e-19,0.0260661541625657
"154",0.15,0.982260340269001,9.68810874081051e-19,0.0266048604524673
"155",0.15,1.02276327723561,3.10667121097407e-18,0.025043918518294
"156",0.15,0.964511845988736,-1.40993928026399e-19,0.0262467174028338
"157",0.15,1.00787720314387,1.02457020596585e-18,0.0253435279655026
"158",0.15,0.94938819711558,3.29611944698991e-18,0.0259250156322544
"159",0.15,0.997236044469948,1.12434549907561e-18,0.0267137615081817
"160",0.15,0.993517965765719,-2.34519028545835e-18,0.025962170626882
"161",0.15,0.970630063118527,8.30966426310781e-19,0.0257218995331176
"162",0.15,0.989593683842173,1.52060709943808e-18,0.0265811376497962
"163",0.15,1.0267002567254,2.43278111550097e-18,0.024971356825163
"164",0.15,0.96890778353901,-3.38312582429893e-19,0.0269019177136122
"165",0.15,0.994792902405275,-9.05850915111639e-20,0.025505534785155
"166",0.15,0.972555109896857,-3.36152648414394e-19,0.0263452010572896
"167",0.15,0.979962689897258,-2.72970343296328e-18,0.0268113806421876
"168",0.15,1.11746975927644,-1.384028118891e-18,0.0263410559652219
"169",0.15,1.00060901681221,-2.34997771567623e-18,0.0269707855329549
"170",0.15,0.943650493960636,-2.04300238767943e-18,0.0261732089255362
"171",0.15,0.987839158982153,-1.10576424319081e-18,0.0254909607214523
"172",0.15,0.949954941923573,-9.47335200736366e-19,0.026155030843266
"173",0.15,0.951974130951652,-5.75074384813468e-19,0.0261992359720614
"174",0.15,0.997559111513393,1.80766995339435e-18,0.0271085154445146
"175",0.15,1.01009328967065,6.64307611740814e-19,0.026057613582718
"176",0.15,0.980438048362724,-5.20791007839255e-19,0.0262453060250359
"177",0.15,0.990576405195909,-2.80668771644038e-18,0.0264648043377118
"178",0.15,1.05144358714653,-1.17321517084656e-18,0.0267147831172997
"179",0.15,0.995903090679103,-9.51976941287319e-19,0.024787760249016
"180",0.15,0.956493943831592,-2.35365214460142e-18,0.0261050061111008
"181",0.15,1.00567444762403,-3.46944695195361e-18,0.0260567644821653
"182",0.15,0.971242288655455,-2.92888831270781e-18,0.0264137645559931
"183",0.15,0.979119736562391,1.37750765926304e-18,0.02715139363864
"184",0.15,1.00525566385319,-8.0428488847227e-19,0.0261170934687296
"185",0.15,0.979937890551515,6.81432923868401e-19,0.0259966236707014
"186",0.15,0.962028548427621,2.58526017501742e-18,0.0258353554456781
"187",0.15,0.985711214824135,3.25547287695002e-18,0.0255261796857861
